date,year,month,temp_c,country
1901-01-15,1901,1,12.8,Azores
1901-02-15,1901,2,12.7,Azores
1901-03-15,1901,3,13.0,Azores
1901-04-15,1901,4,13.7,Azores
1901-05-15,1901,5,15.2,Azores
1901-06-15,1901,6,17.5,Azores
1901-07-15,1901,7,19.7,Azores
1901-08-15,1901,8,20.7,Azores
1901-09-15,1901,9,19.8,Azores
1901-10-15,1901,10,17.5,Azores
1901-11-15,1901,11,15.4,Azores
1901-12-15,1901,12,13.7,Azores
1902-01-15,1902,1,13.1,Azores
1902-02-15,1902,2,13.1,Azores
1902-03-15,1902,3,13.3,Azores
1902-04-15,1902,4,13.3,Azores
1902-05-15,1902,5,15.3,Azores
1902-06-15,1902,6,16.7,Azores
1902-07-15,1902,7,18.9,Azores
1902-08-15,1902,8,19.6,Azores
1902-09-15,1902,9,19.1,Azores
1902-10-15,1902,10,17.6,Azores
1902-11-15,1902,11,15.5,Azores
1902-12-15,1902,12,14.2,Azores
1903-01-15,1903,1,12.5,Azores
1903-02-15,1903,2,13.2,Azores
1903-03-15,1903,3,12.5,Azores
1903-04-15,1903,4,14.2,Azores
1903-05-15,1903,5,14.8,Azores
1903-06-15,1903,6,17.0,Azores
1903-07-15,1903,7,19.7,Azores
1903-08-15,1903,8,20.6,Azores
1903-09-15,1903,9,18.6,Azores
1903-10-15,1903,10,17.0,Azores
1903-11-15,1903,11,15.7,Azores
1903-12-15,1903,12,13.9,Azores
1904-01-15,1904,1,13.8,Azores
1904-02-15,1904,2,12.8,Azores
1904-03-15,1904,3,12.2,Azores
1904-04-15,1904,4,14.0,Azores
1904-05-15,1904,5,14.3,Azores
1904-06-15,1904,6,15.9,Azores
1904-07-15,1904,7,17.4,Azores
1904-08-15,1904,8,20.5,Azores
1904-09-15,1904,9,17.6,Azores
1904-10-15,1904,10,15.9,Azores
1904-11-15,1904,11,15.2,Azores
1904-12-15,1904,12,13.8,Azores
1905-01-15,1905,1,12.6,Azores
1905-02-15,1905,2,12.8,Azores
1905-03-15,1905,3,12.7,Azores
1905-04-15,1905,4,14.2,Azores
1905-05-15,1905,5,15.8,Azores
1905-06-15,1905,6,17.4,Azores
1905-07-15,1905,7,20.1,Azores
1905-08-15,1905,8,20.2,Azores
1905-09-15,1905,9,19.0,Azores
1905-10-15,1905,10,17.4,Azores
1905-11-15,1905,11,15.8,Azores
1905-12-15,1905,12,13.8,Azores
1906-01-15,1906,1,13.4,Azores
1906-02-15,1906,2,12.8,Azores
1906-03-15,1906,3,13.0,Azores
1906-04-15,1906,4,14.0,Azores
1906-05-15,1906,5,14.5,Azores
1906-06-15,1906,6,17.3,Azores
1906-07-15,1906,7,19.6,Azores
1906-08-15,1906,8,20.3,Azores
1906-09-15,1906,9,19.6,Azores
1906-10-15,1906,10,16.6,Azores
1906-11-15,1906,11,15.4,Azores
1906-12-15,1906,12,14.1,Azores
1907-01-15,1907,1,13.5,Azores
1907-02-15,1907,2,12.9,Azores
1907-03-15,1907,3,13.3,Azores
1907-04-15,1907,4,14.0,Azores
1907-05-15,1907,5,14.9,Azores
1907-06-15,1907,6,17.4,Azores
1907-07-15,1907,7,19.5,Azores
1907-08-15,1907,8,20.6,Azores
1907-09-15,1907,9,20.1,Azores
1907-10-15,1907,10,18.0,Azores
1907-11-15,1907,11,14.8,Azores
1907-12-15,1907,12,13.5,Azores
1908-01-15,1908,1,12.4,Azores
1908-02-15,1908,2,13.1,Azores
1908-03-15,1908,3,14.0,Azores
1908-04-15,1908,4,14.6,Azores
1908-05-15,1908,5,16.2,Azores
1908-06-15,1908,6,18.9,Azores
1908-07-15,1908,7,21.2,Azores
1908-08-15,1908,8,22.2,Azores
1908-09-15,1908,9,21.1,Azores
1908-10-15,1908,10,16.9,Azores
1908-11-15,1908,11,15.3,Azores
1908-12-15,1908,12,14.4,Azores
1909-01-15,1909,1,13.5,Azores
1909-02-15,1909,2,13.3,Azores
1909-03-15,1909,3,14.0,Azores
1909-04-15,1909,4,14.7,Azores
1909-05-15,1909,5,15.9,Azores
1909-06-15,1909,6,18.0,Azores
1909-07-15,1909,7,21.1,Azores
1909-08-15,1909,8,22.2,Azores
1909-09-15,1909,9,20.3,Azores
1909-10-15,1909,10,19.0,Azores
1909-11-15,1909,11,15.4,Azores
1909-12-15,1909,12,14.9,Azores
1910-01-15,1910,1,13.6,Azores
1910-02-15,1910,2,13.9,Azores
1910-03-15,1910,3,13.6,Azores
1910-04-15,1910,4,14.9,Azores
1910-05-15,1910,5,16.7,Azores
1910-06-15,1910,6,18.4,Azores
1910-07-15,1910,7,21.4,Azores
1910-08-15,1910,8,21.9,Azores
1910-09-15,1910,9,20.4,Azores
1910-10-15,1910,10,18.0,Azores
1910-11-15,1910,11,17.2,Azores
1910-12-15,1910,12,15.4,Azores
1911-01-15,1911,1,14.4,Azores
1911-02-15,1911,2,12.5,Azores
1911-03-15,1911,3,14.5,Azores
1911-04-15,1911,4,14.8,Azores
1911-05-15,1911,5,15.3,Azores
1911-06-15,1911,6,18.7,Azores
1911-07-15,1911,7,20.4,Azores
1911-08-15,1911,8,21.3,Azores
1911-09-15,1911,9,19.2,Azores
1911-10-15,1911,10,17.7,Azores
1911-11-15,1911,11,15.7,Azores
1911-12-15,1911,12,14.5,Azores
1912-01-15,1912,1,13.1,Azores
1912-02-15,1912,2,12.6,Azores
1912-03-15,1912,3,13.2,Azores
1912-04-15,1912,4,14.1,Azores
1912-05-15,1912,5,16.0,Azores
1912-06-15,1912,6,18.8,Azores
1912-07-15,1912,7,20.5,Azores
1912-08-15,1912,8,21.9,Azores
1912-09-15,1912,9,21.0,Azores
1912-10-15,1912,10,18.5,Azores
1912-11-15,1912,11,17.1,Azores
1912-12-15,1912,12,14.3,Azores
1913-01-15,1913,1,12.7,Azores
1913-02-15,1913,2,13.2,Azores
1913-03-15,1913,3,13.0,Azores
1913-04-15,1913,4,13.8,Azores
1913-05-15,1913,5,16.6,Azores
1913-06-15,1913,6,19.2,Azores
1913-07-15,1913,7,20.9,Azores
1913-08-15,1913,8,21.6,Azores
1913-09-15,1913,9,20.3,Azores
1913-10-15,1913,10,16.8,Azores
1913-11-15,1913,11,16.2,Azores
1913-12-15,1913,12,15.3,Azores
1914-01-15,1914,1,14.3,Azores
1914-02-15,1914,2,13.1,Azores
1914-03-15,1914,3,14.1,Azores
1914-04-15,1914,4,14.2,Azores
1914-05-15,1914,5,15.9,Azores
1914-06-15,1914,6,18.6,Azores
1914-07-15,1914,7,20.8,Azores
1914-08-15,1914,8,21.8,Azores
1914-09-15,1914,9,20.7,Azores
1914-10-15,1914,10,19.1,Azores
1914-11-15,1914,11,15.7,Azores
1914-12-15,1914,12,13.8,Azores
1915-01-15,1915,1,13.5,Azores
1915-02-15,1915,2,13.8,Azores
1915-03-15,1915,3,14.1,Azores
1915-04-15,1915,4,14.7,Azores
1915-05-15,1915,5,16.6,Azores
1915-06-15,1915,6,18.2,Azores
1915-07-15,1915,7,21.7,Azores
1915-08-15,1915,8,21.1,Azores
1915-09-15,1915,9,20.4,Azores
1915-10-15,1915,10,18.0,Azores
1915-11-15,1915,11,16.1,Azores
1915-12-15,1915,12,14.6,Azores
1916-01-15,1916,1,13.9,Azores
1916-02-15,1916,2,13.6,Azores
1916-03-15,1916,3,13.3,Azores
1916-04-15,1916,4,14.8,Azores
1916-05-15,1916,5,16.6,Azores
1916-06-15,1916,6,18.3,Azores
1916-07-15,1916,7,19.5,Azores
1916-08-15,1916,8,20.2,Azores
1916-09-15,1916,9,19.6,Azores
1916-10-15,1916,10,18.0,Azores
1916-11-15,1916,11,16.1,Azores
1916-12-15,1916,12,13.6,Azores
1917-01-15,1917,1,12.3,Azores
1917-02-15,1917,2,12.4,Azores
1917-03-15,1917,3,12.5,Azores
1917-04-15,1917,4,13.7,Azores
1917-05-15,1917,5,14.8,Azores
1917-06-15,1917,6,15.9,Azores
1917-07-15,1917,7,19.4,Azores
1917-08-15,1917,8,19.9,Azores
1917-09-15,1917,9,19.1,Azores
1917-10-15,1917,10,17.2,Azores
1917-11-15,1917,11,16.2,Azores
1917-12-15,1917,12,13.7,Azores
1918-01-15,1918,1,12.6,Azores
1918-02-15,1918,2,12.3,Azores
1918-03-15,1918,3,12.9,Azores
1918-04-15,1918,4,13.1,Azores
1918-05-15,1918,5,14.8,Azores
1918-06-15,1918,6,17.1,Azores
1918-07-15,1918,7,18.9,Azores
1918-08-15,1918,8,19.8,Azores
1918-09-15,1918,9,18.1,Azores
1918-10-15,1918,10,17.0,Azores
1918-11-15,1918,11,16.0,Azores
1918-12-15,1918,12,15.3,Azores
1919-01-15,1919,1,13.8,Azores
1919-02-15,1919,2,13.4,Azores
1919-03-15,1919,3,13.1,Azores
1919-04-15,1919,4,13.7,Azores
1919-05-15,1919,5,14.7,Azores
1919-06-15,1919,6,17.9,Azores
1919-07-15,1919,7,19.2,Azores
1919-08-15,1919,8,20.6,Azores
1919-09-15,1919,9,19.5,Azores
1919-10-15,1919,10,18.6,Azores
1919-11-15,1919,11,15.5,Azores
1919-12-15,1919,12,14.7,Azores
1920-01-15,1920,1,14.0,Azores
1920-02-15,1920,2,11.8,Azores
1920-03-15,1920,3,12.9,Azores
1920-04-15,1920,4,13.9,Azores
1920-05-15,1920,5,15.3,Azores
1920-06-15,1920,6,17.9,Azores
1920-07-15,1920,7,19.4,Azores
1920-08-15,1920,8,20.0,Azores
1920-09-15,1920,9,19.4,Azores
1920-10-15,1920,10,16.7,Azores
1920-11-15,1920,11,15.2,Azores
1920-12-15,1920,12,13.6,Azores
1921-01-15,1921,1,13.3,Azores
1921-02-15,1921,2,12.3,Azores
1921-03-15,1921,3,12.7,Azores
1921-04-15,1921,4,13.7,Azores
1921-05-15,1921,5,15.9,Azores
1921-06-15,1921,6,17.6,Azores
1921-07-15,1921,7,20.1,Azores
1921-08-15,1921,8,20.6,Azores
1921-09-15,1921,9,19.4,Azores
1921-10-15,1921,10,17.0,Azores
1921-11-15,1921,11,15.2,Azores
1921-12-15,1921,12,13.9,Azores
1922-01-15,1922,1,12.5,Azores
1922-02-15,1922,2,12.2,Azores
1922-03-15,1922,3,12.6,Azores
1922-04-15,1922,4,13.6,Azores
1922-05-15,1922,5,15.6,Azores
1922-06-15,1922,6,17.6,Azores
1922-07-15,1922,7,20.5,Azores
1922-08-15,1922,8,21.0,Azores
1922-09-15,1922,9,20.2,Azores
1922-10-15,1922,10,17.1,Azores
1922-11-15,1922,11,16.4,Azores
1922-12-15,1922,12,14.2,Azores
1923-01-15,1923,1,13.9,Azores
1923-02-15,1923,2,13.0,Azores
1923-03-15,1923,3,12.9,Azores
1923-04-15,1923,4,13.6,Azores
1923-05-15,1923,5,15.0,Azores
1923-06-15,1923,6,17.3,Azores
1923-07-15,1923,7,19.8,Azores
1923-08-15,1923,8,21.0,Azores
1923-09-15,1923,9,20.0,Azores
1923-10-15,1923,10,18.2,Azores
1923-11-15,1923,11,15.1,Azores
1923-12-15,1923,12,14.3,Azores
1924-01-15,1924,1,12.8,Azores
1924-02-15,1924,2,12.1,Azores
1924-03-15,1924,3,13.6,Azores
1924-04-15,1924,4,13.9,Azores
1924-05-15,1924,5,14.6,Azores
1924-06-15,1924,6,17.1,Azores
1924-07-15,1924,7,18.8,Azores
1924-08-15,1924,8,20.5,Azores
1924-09-15,1924,9,19.6,Azores
1924-10-15,1924,10,18.3,Azores
1924-11-15,1924,11,14.7,Azores
1924-12-15,1924,12,14.3,Azores
1925-01-15,1925,1,11.9,Azores
1925-02-15,1925,2,12.5,Azores
1925-03-15,1925,3,12.1,Azores
1925-04-15,1925,4,13.6,Azores
1925-05-15,1925,5,15.6,Azores
1925-06-15,1925,6,18.3,Azores
1925-07-15,1925,7,20.8,Azores
1925-08-15,1925,8,21.1,Azores
1925-09-15,1925,9,20.2,Azores
1925-10-15,1925,10,18.3,Azores
1925-11-15,1925,11,15.5,Azores
1925-12-15,1925,12,13.7,Azores
1926-01-15,1926,1,12.7,Azores
1926-02-15,1926,2,12.8,Azores
1926-03-15,1926,3,13.0,Azores
1926-04-15,1926,4,13.5,Azores
1926-05-15,1926,5,15.2,Azores
1926-06-15,1926,6,18.0,Azores
1926-07-15,1926,7,19.1,Azores
1926-08-15,1926,8,20.4,Azores
1926-09-15,1926,9,19.6,Azores
1926-10-15,1926,10,17.3,Azores
1926-11-15,1926,11,15.0,Azores
1926-12-15,1926,12,13.9,Azores
1927-01-15,1927,1,13.1,Azores
1927-02-15,1927,2,13.0,Azores
1927-03-15,1927,3,13.2,Azores
1927-04-15,1927,4,14.9,Azores
1927-05-15,1927,5,15.5,Azores
1927-06-15,1927,6,17.1,Azores
1927-07-15,1927,7,19.1,Azores
1927-08-15,1927,8,20.2,Azores
1927-09-15,1927,9,20.0,Azores
1927-10-15,1927,10,17.3,Azores
1927-11-15,1927,11,14.8,Azores
1927-12-15,1927,12,13.9,Azores
1928-01-15,1928,1,13.8,Azores
1928-02-15,1928,2,13.1,Azores
1928-03-15,1928,3,13.0,Azores
1928-04-15,1928,4,13.2,Azores
1928-05-15,1928,5,14.9,Azores
1928-06-15,1928,6,16.6,Azores
1928-07-15,1928,7,19.9,Azores
1928-08-15,1928,8,19.3,Azores
1928-09-15,1928,9,17.9,Azores
1928-10-15,1928,10,16.9,Azores
1928-11-15,1928,11,15.6,Azores
1928-12-15,1928,12,14.6,Azores
1929-01-15,1929,1,13.4,Azores
1929-02-15,1929,2,12.6,Azores
1929-03-15,1929,3,12.7,Azores
1929-04-15,1929,4,13.5,Azores
1929-05-15,1929,5,15.2,Azores
1929-06-15,1929,6,16.9,Azores
1929-07-15,1929,7,19.0,Azores
1929-08-15,1929,8,20.5,Azores
1929-09-15,1929,9,19.8,Azores
1929-10-15,1929,10,17.9,Azores
1929-11-15,1929,11,16.8,Azores
1929-12-15,1929,12,14.9,Azores
1930-01-15,1930,1,12.5,Azores
1930-02-15,1930,2,12.9,Azores
1930-03-15,1930,3,13.2,Azores
1930-04-15,1930,4,13.2,Azores
1930-05-15,1930,5,15.9,Azores
1930-06-15,1930,6,18.6,Azores
1930-07-15,1930,7,20.2,Azores
1930-08-15,1930,8,20.8,Azores
1930-09-15,1930,9,20.2,Azores
1930-10-15,1930,10,17.1,Azores
1930-11-15,1930,11,15.9,Azores
1930-12-15,1930,12,14.3,Azores
1931-01-15,1931,1,13.4,Azores
1931-02-15,1931,2,14.2,Azores
1931-03-15,1931,3,13.4,Azores
1931-04-15,1931,4,13.7,Azores
1931-05-15,1931,5,15.8,Azores
1931-06-15,1931,6,16.8,Azores
1931-07-15,1931,7,19.6,Azores
1931-08-15,1931,8,21.0,Azores
1931-09-15,1931,9,19.3,Azores
1931-10-15,1931,10,18.2,Azores
1931-11-15,1931,11,15.8,Azores
1931-12-15,1931,12,14.9,Azores
1932-01-15,1932,1,14.1,Azores
1932-02-15,1932,2,13.4,Azores
1932-03-15,1932,3,13.6,Azores
1932-04-15,1932,4,14.0,Azores
1932-05-15,1932,5,15.2,Azores
1932-06-15,1932,6,18.3,Azores
1932-07-15,1932,7,19.4,Azores
1932-08-15,1932,8,21.0,Azores
1932-09-15,1932,9,19.8,Azores
