date,year,month,temp_c,country
1901-01-15,1901,1,-2.1,Iceland
1901-02-15,1901,2,-3.0,Iceland
1901-03-15,1901,3,-2.7,Iceland
1901-04-15,1901,4,-1.9,Iceland
1901-05-15,1901,5,4.1,Iceland
1901-06-15,1901,6,6.8,Iceland
1901-07-15,1901,7,9.1,Iceland
1901-08-15,1901,8,7.6,Iceland
1901-09-15,1901,9,6.9,Iceland
1901-10-15,1901,10,0.3,Iceland
1901-11-15,1901,11,-1.5,Iceland
1901-12-15,1901,12,-4.9,Iceland
1902-01-15,1902,1,-7.1,Iceland
1902-02-15,1902,2,-5.5,Iceland
1902-03-15,1902,3,-5.4,Iceland
1902-04-15,1902,4,-1.5,Iceland
1902-05-15,1902,5,1.4,Iceland
1902-06-15,1902,6,5.6,Iceland
1902-07-15,1902,7,7.4,Iceland
1902-08-15,1902,8,6.9,Iceland
1902-09-15,1902,9,5.5,Iceland
1902-10-15,1902,10,2.5,Iceland
1902-11-15,1902,11,-0.1,Iceland
1902-12-15,1902,12,-2.0,Iceland
1903-01-15,1903,1,-4.4,Iceland
1903-02-15,1903,2,-4.6,Iceland
1903-03-15,1903,3,-4.4,Iceland
1903-04-15,1903,4,-2.4,Iceland
1903-05-15,1903,5,2.4,Iceland
1903-06-15,1903,6,6.3,Iceland
1903-07-15,1903,7,8.0,Iceland
1903-08-15,1903,8,5.8,Iceland
1903-09-15,1903,9,5.4,Iceland
1903-10-15,1903,10,0.4,Iceland
1903-11-15,1903,11,-3.0,Iceland
1903-12-15,1903,12,-2.2,Iceland
1904-01-15,1904,1,-3.9,Iceland
1904-02-15,1904,2,-4.4,Iceland
1904-03-15,1904,3,-3.3,Iceland
1904-04-15,1904,4,-1.0,Iceland
1904-05-15,1904,5,3.4,Iceland
1904-06-15,1904,6,7.5,Iceland
1904-07-15,1904,7,9.3,Iceland
1904-08-15,1904,8,7.9,Iceland
1904-09-15,1904,9,6.5,Iceland
1904-10-15,1904,10,0.3,Iceland
1904-11-15,1904,11,-3.5,Iceland
1904-12-15,1904,12,-3.6,Iceland
1905-01-15,1905,1,-4.8,Iceland
1905-02-15,1905,2,-5.5,Iceland
1905-03-15,1905,3,-1.1,Iceland
1905-04-15,1905,4,-1.6,Iceland
1905-05-15,1905,5,3.4,Iceland
1905-06-15,1905,6,7.6,Iceland
1905-07-15,1905,7,8.5,Iceland
1905-08-15,1905,8,7.5,Iceland
1905-09-15,1905,9,4.9,Iceland
1905-10-15,1905,10,0.3,Iceland
1905-11-15,1905,11,-1.8,Iceland
1905-12-15,1905,12,-2.0,Iceland
1906-01-15,1906,1,-2.7,Iceland
1906-02-15,1906,2,-5.5,Iceland
1906-03-15,1906,3,-3.9,Iceland
1906-04-15,1906,4,-2.0,Iceland
1906-05-15,1906,5,0.3,Iceland
1906-06-15,1906,6,7.4,Iceland
1906-07-15,1906,7,7.5,Iceland
1906-08-15,1906,8,7.1,Iceland
1906-09-15,1906,9,5.9,Iceland
1906-10-15,1906,10,1.6,Iceland
1906-11-15,1906,11,-1.8,Iceland
1906-12-15,1906,12,-5.6,Iceland
1907-01-15,1907,1,-3.5,Iceland
1907-02-15,1907,2,-6.4,Iceland
1907-03-15,1907,3,-4.7,Iceland
1907-04-15,1907,4,-0.4,Iceland
1907-05-15,1907,5,2.3,Iceland
1907-06-15,1907,6,4.7,Iceland
1907-07-15,1907,7,7.6,Iceland
1907-08-15,1907,8,5.9,Iceland
1907-09-15,1907,9,3.6,Iceland
1907-10-15,1907,10,0.1,Iceland
1907-11-15,1907,11,-2.3,Iceland
1907-12-15,1907,12,-1.0,Iceland
1908-01-15,1908,1,-3.2,Iceland
1908-02-15,1908,2,-4.9,Iceland
1908-03-15,1908,3,-2.0,Iceland
1908-04-15,1908,4,0.0,Iceland
1908-05-15,1908,5,2.7,Iceland
1908-06-15,1908,6,6.4,Iceland
1908-07-15,1908,7,9.4,Iceland
1908-08-15,1908,8,7.5,Iceland
1908-09-15,1908,9,5.7,Iceland
1908-10-15,1908,10,4.3,Iceland
1908-11-15,1908,11,-1.8,Iceland
1908-12-15,1908,12,-2.2,Iceland
1909-01-15,1909,1,-4.0,Iceland
1909-02-15,1909,2,-1.5,Iceland
1909-03-15,1909,3,-4.2,Iceland
1909-04-15,1909,4,1.2,Iceland
1909-05-15,1909,5,2.8,Iceland
1909-06-15,1909,6,7.7,Iceland
1909-07-15,1909,7,8.4,Iceland
1909-08-15,1909,8,7.7,Iceland
1909-09-15,1909,9,5.7,Iceland
1909-10-15,1909,10,-0.4,Iceland
1909-11-15,1909,11,-1.7,Iceland
1909-12-15,1909,12,-6.4,Iceland
1910-01-15,1910,1,-5.3,Iceland
1910-02-15,1910,2,-4.9,Iceland
1910-03-15,1910,3,-2.2,Iceland
1910-04-15,1910,4,-3.0,Iceland
1910-05-15,1910,5,2.7,Iceland
1910-06-15,1910,6,5.9,Iceland
1910-07-15,1910,7,8.4,Iceland
1910-08-15,1910,8,8.1,Iceland
1910-09-15,1910,9,5.3,Iceland
1910-10-15,1910,10,3.0,Iceland
1910-11-15,1910,11,-4.5,Iceland
1910-12-15,1910,12,-2.9,Iceland
1911-01-15,1911,1,-3.4,Iceland
1911-02-15,1911,2,-4.9,Iceland
1911-03-15,1911,3,-2.3,Iceland
1911-04-15,1911,4,-1.2,Iceland
1911-05-15,1911,5,4.0,Iceland
1911-06-15,1911,6,6.5,Iceland
1911-07-15,1911,7,8.3,Iceland
1911-08-15,1911,8,7.8,Iceland
1911-09-15,1911,9,4.2,Iceland
1911-10-15,1911,10,1.9,Iceland
