date,year,month,temp_c,country
1901-01-15,1901,1,-6.5,Poland
1901-02-15,1901,2,-6.0,Poland
1901-03-15,1901,3,1.6,Poland
1901-04-15,1901,4,8.4,Poland
1901-05-15,1901,5,13.9,Poland
1901-06-15,1901,6,17.6,Poland
1901-07-15,1901,7,19.9,Poland
1901-08-15,1901,8,18.3,Poland
1901-09-15,1901,9,13.5,Poland
1901-10-15,1901,10,10.1,Poland
1901-11-15,1901,11,2.0,Poland
1901-12-15,1901,12,-0.6,Poland
1902-01-15,1902,1,0.2,Poland
1902-02-15,1902,2,-4.3,Poland
1902-03-15,1902,3,2.0,Poland
1902-04-15,1902,4,6.3,Poland
1902-05-15,1902,5,10.0,Poland
1902-06-15,1902,6,15.7,Poland
1902-07-15,1902,7,16.4,Poland
1902-08-15,1902,8,16.1,Poland
1902-09-15,1902,9,12.5,Poland
1902-10-15,1902,10,7.1,Poland
1902-11-15,1902,11,-0.6,Poland
1902-12-15,1902,12,-6.1,Poland
1903-01-15,1903,1,-3.6,Poland
1903-02-15,1903,2,0.8,Poland
1903-03-15,1903,3,5.3,Poland
1903-04-15,1903,4,6.9,Poland
1903-05-15,1903,5,13.4,Poland
1903-06-15,1903,6,16.4,Poland
1903-07-15,1903,7,17.9,Poland
1903-08-15,1903,8,16.6,Poland
1903-09-15,1903,9,14.2,Poland
1903-10-15,1903,10,8.5,Poland
1903-11-15,1903,11,3.4,Poland
1903-12-15,1903,12,-2.4,Poland
1904-01-15,1904,1,-4.2,Poland
1904-02-15,1904,2,-1.1,Poland
1904-03-15,1904,3,1.3,Poland
1904-04-15,1904,4,8.4,Poland
1904-05-15,1904,5,11.5,Poland
1904-06-15,1904,6,15.5,Poland
1904-07-15,1904,7,18.4,Poland
1904-08-15,1904,8,17.4,Poland
1904-09-15,1904,9,12.4,Poland
1904-10-15,1904,10,8.4,Poland
1904-11-15,1904,11,1.8,Poland
1904-12-15,1904,12,-0.6,Poland
1905-01-15,1905,1,-5.8,Poland
1905-02-15,1905,2,-1.6,Poland
1905-03-15,1905,3,3.0,Poland
1905-04-15,1905,4,6.3,Poland
1905-05-15,1905,5,13.6,Poland
1905-06-15,1905,6,18.4,Poland
1905-07-15,1905,7,19.1,Poland
1905-08-15,1905,8,18.1,Poland
1905-09-15,1905,9,13.7,Poland
1905-10-15,1905,10,5.5,Poland
1905-11-15,1905,11,3.3,Poland
1905-12-15,1905,12,-1.4,Poland
1906-01-15,1906,1,-2.6,Poland
1906-02-15,1906,2,-2.0,Poland
1906-03-15,1906,3,2.1,Poland
1906-04-15,1906,4,9.8,Poland
1906-05-15,1906,5,15.2,Poland
1906-06-15,1906,6,16.1,Poland
1906-07-15,1906,7,18.7,Poland
1906-08-15,1906,8,16.9,Poland
