date,year,month,temp_c,country
1901-01-15,1901,1,-7.6,Armenia
1901-02-15,1901,2,-2.3,Armenia
1901-03-15,1901,3,4.0,Armenia
1901-04-15,1901,4,9.5,Armenia
1901-05-15,1901,5,12.4,Armenia
1901-06-15,1901,6,18.2,Armenia
1901-07-15,1901,7,21.3,Armenia
1901-08-15,1901,8,20.6,Armenia
1901-09-15,1901,9,15.1,Armenia
1901-10-15,1901,10,6.6,Armenia
1901-11-15,1901,11,2.1,Armenia
1901-12-15,1901,12,-0.6,Armenia
1902-01-15,1902,1,-4.1,Armenia
1902-02-15,1902,2,-3.6,Armenia
1902-03-15,1902,3,1.0,Armenia
1902-04-15,1902,4,7.1,Armenia
1902-05-15,1902,5,11.8,Armenia
1902-06-15,1902,6,18.1,Armenia
1902-07-15,1902,7,20.2,Armenia
1902-08-15,1902,8,20.7,Armenia
1902-09-15,1902,9,14.2,Armenia
1902-10-15,1902,10,8.2,Armenia
1902-11-15,1902,11,-0.0,Armenia
1902-12-15,1902,12,-4.0,Armenia
1903-01-15,1903,1,-7.1,Armenia
1903-02-15,1903,2,-4.5,Armenia
1903-03-15,1903,3,-1.5,Armenia
1903-04-15,1903,4,8.7,Armenia
1903-05-15,1903,5,12.9,Armenia
1903-06-15,1903,6,17.3,Armenia
1903-07-15,1903,7,21.1,Armenia
1903-08-15,1903,8,20.3,Armenia
1903-09-15,1903,9,14.2,Armenia
1903-10-15,1903,10,9.6,Armenia
1903-11-15,1903,11,2.3,Armenia
1903-12-15,1903,12,-3.4,Armenia
1904-01-15,1904,1,-10.7,Armenia
1904-02-15,1904,2,-2.3,Armenia
1904-03-15,1904,3,1.1,Armenia
1904-04-15,1904,4,5.1,Armenia
1904-05-15,1904,5,10.9,Armenia
1904-06-15,1904,6,15.3,Armenia
1904-07-15,1904,7,20.2,Armenia
1904-08-15,1904,8,20.4,Armenia
1904-09-15,1904,9,15.6,Armenia
1904-10-15,1904,10,9.3,Armenia
1904-11-15,1904,11,3.6,Armenia
1904-12-15,1904,12,-4.0,Armenia
1905-01-15,1905,1,-8.6,Armenia
1905-02-15,1905,2,-6.5,Armenia
1905-03-15,1905,3,-2.0,Armenia
1905-04-15,1905,4,6.4,Armenia
1905-05-15,1905,5,10.9,Armenia
1905-06-15,1905,6,17.2,Armenia
1905-07-15,1905,7,20.4,Armenia
1905-08-15,1905,8,19.6,Armenia
1905-09-15,1905,9,16.6,Armenia
1905-10-15,1905,10,13.1,Armenia
1905-11-15,1905,11,4.7,Armenia
1905-12-15,1905,12,-3.5,Armenia
1906-01-15,1906,1,-7.4,Armenia
1906-02-15,1906,2,-4.7,Armenia
1906-03-15,1906,3,2.2,Armenia
1906-04-15,1906,4,7.2,Armenia
1906-05-15,1906,5,13.9,Armenia
1906-06-15,1906,6,17.2,Armenia
1906-07-15,1906,7,20.3,Armenia
1906-08-15,1906,8,18.9,Armenia
1906-09-15,1906,9,14.0,Armenia
1906-10-15,1906,10,9.7,Armenia
1906-11-15,1906,11,2.4,Armenia
1906-12-15,1906,12,-1.5,Armenia
1907-01-15,1907,1,-6.9,Armenia
1907-02-15,1907,2,-6.3,Armenia
1907-03-15,1907,3,-0.3,Armenia
1907-04-15,1907,4,6.3,Armenia
1907-05-15,1907,5,12.6,Armenia
1907-06-15,1907,6,17.1,Armenia
1907-07-15,1907,7,21.8,Armenia
1907-08-15,1907,8,19.9,Armenia
1907-09-15,1907,9,14.1,Armenia
1907-10-15,1907,10,8.0,Armenia
1907-11-15,1907,11,-0.6,Armenia
1907-12-15,1907,12,-4.7,Armenia
1908-01-15,1908,1,-7.9,Armenia
1908-02-15,1908,2,-5.2,Armenia
1908-03-15,1908,3,-1.7,Armenia
1908-04-15,1908,4,5.4,Armenia
1908-05-15,1908,5,10.7,Armenia
1908-06-15,1908,6,17.1,Armenia
1908-07-15,1908,7,19.8,Armenia
1908-08-15,1908,8,20.6,Armenia
1908-09-15,1908,9,16.8,Armenia
1908-10-15,1908,10,7.4,Armenia
1908-11-15,1908,11,1.2,Armenia
1908-12-15,1908,12,-5.3,Armenia
1909-01-15,1909,1,-9.9,Armenia
1909-02-15,1909,2,-4.9,Armenia
1909-03-15,1909,3,0.9,Armenia
1909-04-15,1909,4,5.8,Armenia
1909-05-15,1909,5,13.1,Armenia
1909-06-15,1909,6,15.2,Armenia
1909-07-15,1909,7,21.1,Armenia
1909-08-15,1909,8,19.4,Armenia
1909-09-15,1909,9,17.8,Armenia
1909-10-15,1909,10,10.4,Armenia
1909-11-15,1909,11,5.7,Armenia
1909-12-15,1909,12,-1.9,Armenia
1910-01-15,1910,1,-4.4,Armenia
1910-02-15,1910,2,-3.4,Armenia
1910-03-15,1910,3,0.3,Armenia
1910-04-15,1910,4,7.7,Armenia
1910-05-15,1910,5,12.5,Armenia
1910-06-15,1910,6,16.7,Armenia
1910-07-15,1910,7,21.7,Armenia
1910-08-15,1910,8,20.3,Armenia
1910-09-15,1910,9,15.0,Armenia
1910-10-15,1910,10,9.0,Armenia
1910-11-15,1910,11,3.6,Armenia
1910-12-15,1910,12,-6.0,Armenia
