date,year,month,temp_c,country
1901-01-15,1901,1,24.5,Costa_Rica
1901-02-15,1901,2,25.0,Costa_Rica
1901-03-15,1901,3,25.8,Costa_Rica
1901-04-15,1901,4,26.2,Costa_Rica
1901-05-15,1901,5,25.8,Costa_Rica
1901-06-15,1901,6,25.0,Costa_Rica
1901-07-15,1901,7,25.1,Costa_Rica
1901-08-15,1901,8,24.9,Costa_Rica
1901-09-15,1901,9,24.6,Costa_Rica
1901-10-15,1901,10,24.5,Costa_Rica
1901-11-15,1901,11,24.2,Costa_Rica
1901-12-15,1901,12,24.1,Costa_Rica
1902-01-15,1902,1,24.5,Costa_Rica
1902-02-15,1902,2,25.0,Costa_Rica
1902-03-15,1902,3,25.8,Costa_Rica
1902-04-15,1902,4,26.2,Costa_Rica
1902-05-15,1902,5,25.8,Costa_Rica
1902-06-15,1902,6,25.0,Costa_Rica
1902-07-15,1902,7,25.1,Costa_Rica
1902-08-15,1902,8,24.9,Costa_Rica
1902-09-15,1902,9,24.6,Costa_Rica
1902-10-15,1902,10,24.5,Costa_Rica
1902-11-15,1902,11,24.2,Costa_Rica
1902-12-15,1902,12,24.1,Costa_Rica
1903-01-15,1903,1,24.5,Costa_Rica
1903-02-15,1903,2,25.0,Costa_Rica
1903-03-15,1903,3,25.8,Costa_Rica
1903-04-15,1903,4,26.2,Costa_Rica
1903-05-15,1903,5,25.8,Costa_Rica
1903-06-15,1903,6,25.0,Costa_Rica
1903-07-15,1903,7,25.1,Costa_Rica
1903-08-15,1903,8,24.9,Costa_Rica
1903-09-15,1903,9,24.6,Costa_Rica
1903-10-15,1903,10,24.5,Costa_Rica
1903-11-15,1903,11,24.2,Costa_Rica
1903-12-15,1903,12,24.1,Costa_Rica
1904-01-15,1904,1,24.5,Costa_Rica
1904-02-15,1904,2,25.0,Costa_Rica
1904-03-15,1904,3,25.8,Costa_Rica
1904-04-15,1904,4,26.2,Costa_Rica
1904-05-15,1904,5,25.8,Costa_Rica
1904-06-15,1904,6,25.0,Costa_Rica
1904-07-15,1904,7,25.1,Costa_Rica
1904-08-15,1904,8,24.9,Costa_Rica
1904-09-15,1904,9,24.6,Costa_Rica
1904-10-15,1904,10,24.5,Costa_Rica
1904-11-15,1904,11,24.2,Costa_Rica
1904-12-15,1904,12,24.1,Costa_Rica
1905-01-15,1905,1,24.5,Costa_Rica
1905-02-15,1905,2,25.0,Costa_Rica
1905-03-15,1905,3,25.8,Costa_Rica
