date,year,month,temp_c,country
1901-01-15,1901,1,-6.1,Jan_Mayen
1901-02-15,1901,2,-8.6,Jan_Mayen
1901-03-15,1901,3,-8.5,Jan_Mayen
1901-04-15,1901,4,-6.6,Jan_Mayen
1901-05-15,1901,5,-2.2,Jan_Mayen
1901-06-15,1901,6,0.2,Jan_Mayen
1901-07-15,1901,7,3.2,Jan_Mayen
1901-08-15,1901,8,3.2,Jan_Mayen
1901-09-15,1901,9,2.6,Jan_Mayen
1901-10-15,1901,10,-1.7,Jan_Mayen
1901-11-15,1901,11,-5.1,Jan_Mayen
1901-12-15,1901,12,-7.9,Jan_Mayen
1902-01-15,1902,1,-9.4,Jan_Mayen
1902-02-15,1902,2,-9.4,Jan_Mayen
1902-03-15,1902,3,-9.7,Jan_Mayen
1902-04-15,1902,4,-6.8,Jan_Mayen
1902-05-15,1902,5,-3.9,Jan_Mayen
1902-06-15,1902,6,-1.1,Jan_Mayen
1902-07-15,1902,7,1.3,Jan_Mayen
1902-08-15,1902,8,2.3,Jan_Mayen
1902-09-15,1902,9,1.0,Jan_Mayen
1902-10-15,1902,10,-1.6,Jan_Mayen
1902-11-15,1902,11,-4.0,Jan_Mayen
1902-12-15,1902,12,-5.8,Jan_Mayen
1903-01-15,1903,1,-7.7,Jan_Mayen
1903-02-15,1903,2,-8.3,Jan_Mayen
1903-03-15,1903,3,-8.6,Jan_Mayen
1903-04-15,1903,4,-6.9,Jan_Mayen
1903-05-15,1903,5,-3.1,Jan_Mayen
1903-06-15,1903,6,-0.3,Jan_Mayen
1903-07-15,1903,7,1.7,Jan_Mayen
1903-08-15,1903,8,1.9,Jan_Mayen
1903-09-15,1903,9,1.4,Jan_Mayen
1903-10-15,1903,10,-3.0,Jan_Mayen
1903-11-15,1903,11,-5.2,Jan_Mayen
1903-12-15,1903,12,-5.9,Jan_Mayen
1904-01-15,1904,1,-6.9,Jan_Mayen
1904-02-15,1904,2,-9.0,Jan_Mayen
1904-03-15,1904,3,-8.1,Jan_Mayen
1904-04-15,1904,4,-6.0,Jan_Mayen
1904-05-15,1904,5,-2.9,Jan_Mayen
1904-06-15,1904,6,0.3,Jan_Mayen
1904-07-15,1904,7,2.6,Jan_Mayen
1904-08-15,1904,8,3.0,Jan_Mayen
1904-09-15,1904,9,2.2,Jan_Mayen
1904-10-15,1904,10,-1.9,Jan_Mayen
1904-11-15,1904,11,-6.1,Jan_Mayen
1904-12-15,1904,12,-7.7,Jan_Mayen
1905-01-15,1905,1,-8.1,Jan_Mayen
1905-02-15,1905,2,-9.0,Jan_Mayen
1905-03-15,1905,3,-7.3,Jan_Mayen
1905-04-15,1905,4,-7.0,Jan_Mayen
1905-05-15,1905,5,-2.7,Jan_Mayen
1905-06-15,1905,6,0.7,Jan_Mayen
1905-07-15,1905,7,2.5,Jan_Mayen
1905-08-15,1905,8,3.1,Jan_Mayen
1905-09-15,1905,9,1.3,Jan_Mayen
1905-10-15,1905,10,-3.2,Jan_Mayen
1905-11-15,1905,11,-5.2,Jan_Mayen
1905-12-15,1905,12,-6.0,Jan_Mayen
1906-01-15,1906,1,-7.1,Jan_Mayen
1906-02-15,1906,2,-9.2,Jan_Mayen
1906-03-15,1906,3,-9.5,Jan_Mayen
1906-04-15,1906,4,-6.5,Jan_Mayen
1906-05-15,1906,5,-4.4,Jan_Mayen
1906-06-15,1906,6,0.3,Jan_Mayen
1906-07-15,1906,7,2.0,Jan_Mayen
