date,year,month,temp_c,country
1901-01-15,1901,1,-15.7,Kyrgyzstan
1901-02-15,1901,2,-13.0,Kyrgyzstan
1901-03-15,1901,3,-1.7,Kyrgyzstan
1901-04-15,1901,4,4.0,Kyrgyzstan
1901-05-15,1901,5,7.4,Kyrgyzstan
1901-06-15,1901,6,9.2,Kyrgyzstan
1901-07-15,1901,7,14.2,Kyrgyzstan
1901-08-15,1901,8,13.3,Kyrgyzstan
1901-09-15,1901,9,9.2,Kyrgyzstan
1901-10-15,1901,10,-1.1,Kyrgyzstan
1901-11-15,1901,11,-3.2,Kyrgyzstan
1901-12-15,1901,12,-9.1,Kyrgyzstan
1902-01-15,1902,1,-11.1,Kyrgyzstan
1902-02-15,1902,2,-11.1,Kyrgyzstan
1902-03-15,1902,3,-4.2,Kyrgyzstan
1902-04-15,1902,4,2.2,Kyrgyzstan
1902-05-15,1902,5,8.8,Kyrgyzstan
1902-06-15,1902,6,13.1,Kyrgyzstan
1902-07-15,1902,7,13.7,Kyrgyzstan
1902-08-15,1902,8,14.5,Kyrgyzstan
1902-09-15,1902,9,9.2,Kyrgyzstan
1902-10-15,1902,10,2.6,Kyrgyzstan
1902-11-15,1902,11,-5.1,Kyrgyzstan
1902-12-15,1902,12,-9.1,Kyrgyzstan
1903-01-15,1903,1,-15.5,Kyrgyzstan
1903-02-15,1903,2,-11.4,Kyrgyzstan
1903-03-15,1903,3,-10.0,Kyrgyzstan
1903-04-15,1903,4,1.6,Kyrgyzstan
1903-05-15,1903,5,6.7,Kyrgyzstan
1903-06-15,1903,6,11.1,Kyrgyzstan
1903-07-15,1903,7,13.7,Kyrgyzstan
1903-08-15,1903,8,14.1,Kyrgyzstan
1903-09-15,1903,9,9.7,Kyrgyzstan
1903-10-15,1903,10,3.2,Kyrgyzstan
1903-11-15,1903,11,-6.1,Kyrgyzstan
1903-12-15,1903,12,-12.7,Kyrgyzstan
1904-01-15,1904,1,-19.2,Kyrgyzstan
1904-02-15,1904,2,-9.8,Kyrgyzstan
1904-03-15,1904,3,-3.7,Kyrgyzstan
1904-04-15,1904,4,2.0,Kyrgyzstan
1904-05-15,1904,5,9.1,Kyrgyzstan
1904-06-15,1904,6,12.1,Kyrgyzstan
1904-07-15,1904,7,14.2,Kyrgyzstan
1904-08-15,1904,8,14.0,Kyrgyzstan
1904-09-15,1904,9,8.3,Kyrgyzstan
1904-10-15,1904,10,0.2,Kyrgyzstan
1904-11-15,1904,11,-2.8,Kyrgyzstan
1904-12-15,1904,12,-8.5,Kyrgyzstan
1905-01-15,1905,1,-15.4,Kyrgyzstan
1905-02-15,1905,2,-16.2,Kyrgyzstan
1905-03-15,1905,3,-10.0,Kyrgyzstan
1905-04-15,1905,4,1.7,Kyrgyzstan
1905-05-15,1905,5,7.7,Kyrgyzstan
1905-06-15,1905,6,11.4,Kyrgyzstan
1905-07-15,1905,7,14.6,Kyrgyzstan
1905-08-15,1905,8,13.5,Kyrgyzstan
1905-09-15,1905,9,9.8,Kyrgyzstan
1905-10-15,1905,10,5.1,Kyrgyzstan
1905-11-15,1905,11,-3.2,Kyrgyzstan
1905-12-15,1905,12,-10.7,Kyrgyzstan
1906-01-15,1906,1,-15.9,Kyrgyzstan
1906-02-15,1906,2,-13.7,Kyrgyzstan
1906-03-15,1906,3,-4.3,Kyrgyzstan
1906-04-15,1906,4,1.8,Kyrgyzstan
1906-05-15,1906,5,8.2,Kyrgyzstan
1906-06-15,1906,6,13.5,Kyrgyzstan
1906-07-15,1906,7,14.3,Kyrgyzstan
1906-08-15,1906,8,15.0,Kyrgyzstan
1906-09-15,1906,9,9.3,Kyrgyzstan
1906-10-15,1906,10,3.2,Kyrgyzstan
1906-11-15,1906,11,-4.3,Kyrgyzstan
1906-12-15,1906,12,-8.1,Kyrgyzstan
1907-01-15,1907,1,-13.2,Kyrgyzstan
1907-02-15,1907,2,-13.6,Kyrgyzstan
1907-03-15,1907,3,-5.6,Kyrgyzstan
1907-04-15,1907,4,4.3,Kyrgyzstan
1907-05-15,1907,5,6.7,Kyrgyzstan
1907-06-15,1907,6,9.8,Kyrgyzstan
1907-07-15,1907,7,14.5,Kyrgyzstan
1907-08-15,1907,8,14.4,Kyrgyzstan
1907-09-15,1907,9,8.2,Kyrgyzstan
1907-10-15,1907,10,0.0,Kyrgyzstan
1907-11-15,1907,11,-6.3,Kyrgyzstan
1907-12-15,1907,12,-10.4,Kyrgyzstan
1908-01-15,1908,1,-13.1,Kyrgyzstan
1908-02-15,1908,2,-13.6,Kyrgyzstan
1908-03-15,1908,3,-7.0,Kyrgyzstan
1908-04-15,1908,4,3.3,Kyrgyzstan
1908-05-15,1908,5,8.0,Kyrgyzstan
1908-06-15,1908,6,11.3,Kyrgyzstan
1908-07-15,1908,7,15.9,Kyrgyzstan
1908-08-15,1908,8,14.5,Kyrgyzstan
1908-09-15,1908,9,9.7,Kyrgyzstan
1908-10-15,1908,10,0.0,Kyrgyzstan
1908-11-15,1908,11,-3.4,Kyrgyzstan
1908-12-15,1908,12,-9.9,Kyrgyzstan
1909-01-15,1909,1,-17.1,Kyrgyzstan
