date,year,month,temp_c,country
1901-01-15,1901,1,-10.1,North_Korea
1901-02-15,1901,2,-9.3,North_Korea
1901-03-15,1901,3,-1.8,North_Korea
1901-04-15,1901,4,6.8,North_Korea
1901-05-15,1901,5,12.1,North_Korea
1901-06-15,1901,6,16.7,North_Korea
1901-07-15,1901,7,19.5,North_Korea
1901-08-15,1901,8,20.8,North_Korea
1901-09-15,1901,9,15.0,North_Korea
1901-10-15,1901,10,8.9,North_Korea
1901-11-15,1901,11,-0.3,North_Korea
1901-12-15,1901,12,-8.7,North_Korea
1902-01-15,1902,1,-11.1,North_Korea
1902-02-15,1902,2,-8.5,North_Korea
1902-03-15,1902,3,-0.6,North_Korea
1902-04-15,1902,4,5.9,North_Korea
1902-05-15,1902,5,12.0,North_Korea
1902-06-15,1902,6,16.3,North_Korea
1902-07-15,1902,7,19.5,North_Korea
1902-08-15,1902,8,19.6,North_Korea
1902-09-15,1902,9,15.1,North_Korea
1902-10-15,1902,10,8.5,North_Korea
1902-11-15,1902,11,1.4,North_Korea
1902-12-15,1902,12,-6.6,North_Korea
1903-01-15,1903,1,-10.0,North_Korea
1903-02-15,1903,2,-7.9,North_Korea
1903-03-15,1903,3,-0.2,North_Korea
1903-04-15,1903,4,7.2,North_Korea
1903-05-15,1903,5,11.9,North_Korea
1903-06-15,1903,6,16.3,North_Korea
1903-07-15,1903,7,19.5,North_Korea
1903-08-15,1903,8,21.0,North_Korea
1903-09-15,1903,9,15.8,North_Korea
1903-10-15,1903,10,8.0,North_Korea
1903-11-15,1903,11,-0.5,North_Korea
1903-12-15,1903,12,-8.8,North_Korea
1904-01-15,1904,1,-11.7,North_Korea
1904-02-15,1904,2,-7.9,North_Korea
1904-03-15,1904,3,-1.6,North_Korea
1904-04-15,1904,4,6.9,North_Korea
1904-05-15,1904,5,12.2,North_Korea
1904-06-15,1904,6,17.2,North_Korea
1904-07-15,1904,7,20.8,North_Korea
1904-08-15,1904,8,20.9,North_Korea
1904-09-15,1904,9,14.8,North_Korea
1904-10-15,1904,10,8.1,North_Korea
1904-11-15,1904,11,-0.8,North_Korea
1904-12-15,1904,12,-7.7,North_Korea
1905-01-15,1905,1,-8.1,North_Korea
1905-02-15,1905,2,-9.4,North_Korea
1905-03-15,1905,3,-1.5,North_Korea
1905-04-15,1905,4,5.2,North_Korea
1905-05-15,1905,5,11.4,North_Korea
1905-06-15,1905,6,16.5,North_Korea
1905-07-15,1905,7,20.3,North_Korea
1905-08-15,1905,8,19.4,North_Korea
1905-09-15,1905,9,14.8,North_Korea
1905-10-15,1905,10,8.4,North_Korea
1905-11-15,1905,11,-0.3,North_Korea
1905-12-15,1905,12,-6.5,North_Korea
1906-01-15,1906,1,-11.8,North_Korea
1906-02-15,1906,2,-10.3,North_Korea
1906-03-15,1906,3,-2.2,North_Korea
1906-04-15,1906,4,6.0,North_Korea
1906-05-15,1906,5,12.1,North_Korea
1906-06-15,1906,6,16.7,North_Korea
1906-07-15,1906,7,20.5,North_Korea
1906-08-15,1906,8,20.5,North_Korea
1906-09-15,1906,9,14.5,North_Korea
1906-10-15,1906,10,8.4,North_Korea
1906-11-15,1906,11,-2.3,North_Korea
1906-12-15,1906,12,-8.3,North_Korea
1907-01-15,1907,1,-9.3,North_Korea
1907-02-15,1907,2,-10.5,North_Korea
1907-03-15,1907,3,-2.1,North_Korea
1907-04-15,1907,4,6.4,North_Korea
1907-05-15,1907,5,11.8,North_Korea
1907-06-15,1907,6,16.2,North_Korea
1907-07-15,1907,7,20.0,North_Korea
1907-08-15,1907,8,21.2,North_Korea
1907-09-15,1907,9,15.1,North_Korea
1907-10-15,1907,10,8.9,North_Korea
1907-11-15,1907,11,-0.8,North_Korea
1907-12-15,1907,12,-10.1,North_Korea
1908-01-15,1908,1,-11.7,North_Korea
1908-02-15,1908,2,-10.3,North_Korea
1908-03-15,1908,3,-2.5,North_Korea
1908-04-15,1908,4,5.8,North_Korea
1908-05-15,1908,5,11.2,North_Korea
1908-06-15,1908,6,16.7,North_Korea
1908-07-15,1908,7,19.5,North_Korea
1908-08-15,1908,8,20.5,North_Korea
1908-09-15,1908,9,14.5,North_Korea
1908-10-15,1908,10,8.7,North_Korea
1908-11-15,1908,11,-1.8,North_Korea
1908-12-15,1908,12,-7.4,North_Korea
1909-01-15,1909,1,-10.8,North_Korea
1909-02-15,1909,2,-9.4,North_Korea
1909-03-15,1909,3,-3.7,North_Korea
1909-04-15,1909,4,5.5,North_Korea
1909-05-15,1909,5,11.5,North_Korea
1909-06-15,1909,6,16.2,North_Korea
1909-07-15,1909,7,20.7,North_Korea
1909-08-15,1909,8,21.1,North_Korea
1909-09-15,1909,9,15.3,North_Korea
1909-10-15,1909,10,7.4,North_Korea
1909-11-15,1909,11,-0.1,North_Korea
1909-12-15,1909,12,-10.0,North_Korea
1910-01-15,1910,1,-11.0,North_Korea
1910-02-15,1910,2,-9.9,North_Korea
1910-03-15,1910,3,-3.1,North_Korea
1910-04-15,1910,4,5.6,North_Korea
1910-05-15,1910,5,12.0,North_Korea
1910-06-15,1910,6,16.1,North_Korea
1910-07-15,1910,7,20.2,North_Korea
1910-08-15,1910,8,20.3,North_Korea
1910-09-15,1910,9,14.3,North_Korea
1910-10-15,1910,10,8.7,North_Korea
1910-11-15,1910,11,-0.6,North_Korea
1910-12-15,1910,12,-11.2,North_Korea
1911-01-15,1911,1,-12.2,North_Korea
1911-02-15,1911,2,-8.5,North_Korea
1911-03-15,1911,3,-2.3,North_Korea
1911-04-15,1911,4,5.3,North_Korea
1911-05-15,1911,5,12.1,North_Korea
1911-06-15,1911,6,16.4,North_Korea
1911-07-15,1911,7,19.9,North_Korea
1911-08-15,1911,8,20.7,North_Korea
1911-09-15,1911,9,16.1,North_Korea
1911-10-15,1911,10,7.3,North_Korea
1911-11-15,1911,11,0.6,North_Korea
1911-12-15,1911,12,-9.4,North_Korea
1912-01-15,1912,1,-11.2,North_Korea
1912-02-15,1912,2,-5.7,North_Korea
1912-03-15,1912,3,-1.4,North_Korea
1912-04-15,1912,4,5.9,North_Korea
1912-05-15,1912,5,11.1,North_Korea
1912-06-15,1912,6,16.8,North_Korea
1912-07-15,1912,7,20.0,North_Korea
1912-08-15,1912,8,20.7,North_Korea
1912-09-15,1912,9,13.6,North_Korea
1912-10-15,1912,10,6.3,North_Korea
