date,year,month,temp_c,country
1901-01-15,1901,1,-4.9,Norway
1901-02-15,1901,2,-9.5,Norway
1901-03-15,1901,3,-5.2,Norway
1901-04-15,1901,4,0.3,Norway
1901-05-15,1901,5,5.0,Norway
1901-06-15,1901,6,9.7,Norway
1901-07-15,1901,7,14.2,Norway
1901-08-15,1901,8,11.5,Norway
1901-09-15,1901,9,8.1,Norway
1901-10-15,1901,10,5.2,Norway
1901-11-15,1901,11,-4.2,Norway
1901-12-15,1901,12,-8.0,Norway
1902-01-15,1902,1,-5.6,Norway
1902-02-15,1902,2,-7.7,Norway
1902-03-15,1902,3,-6.4,Norway
1902-04-15,1902,4,-1.9,Norway
1902-05-15,1902,5,2.1,Norway
1902-06-15,1902,6,7.2,Norway
1902-07-15,1902,7,8.3,Norway
1902-08-15,1902,8,8.4,Norway
1902-09-15,1902,9,5.0,Norway
1902-10-15,1902,10,0.0,Norway
1902-11-15,1902,11,-2.9,Norway
1902-12-15,1902,12,-6.0,Norway
1903-01-15,1903,1,-6.6,Norway
1903-02-15,1903,2,-2.2,Norway
1903-03-15,1903,3,-0.7,Norway
1903-04-15,1903,4,-1.2,Norway
1903-05-15,1903,5,4.2,Norway
1903-06-15,1903,6,8.0,Norway
1903-07-15,1903,7,9.8,Norway
1903-08-15,1903,8,9.4,Norway
1903-09-15,1903,9,6.8,Norway
1903-10-15,1903,10,-0.8,Norway
1903-11-15,1903,11,-2.9,Norway
1903-12-15,1903,12,-3.8,Norway
1904-01-15,1904,1,-2.7,Norway
1904-02-15,1904,2,-9.5,Norway
1904-03-15,1904,3,-5.1,Norway
1904-04-15,1904,4,0.3,Norway
1904-05-15,1904,5,3.1,Norway
1904-06-15,1904,6,7.9,Norway
1904-07-15,1904,7,10.3,Norway
1904-08-15,1904,8,9.7,Norway
1904-09-15,1904,9,6.9,Norway
1904-10-15,1904,10,2.8,Norway
1904-11-15,1904,11,-5.0,Norway
1904-12-15,1904,12,-7.0,Norway
1905-01-15,1905,1,-6.4,Norway
1905-02-15,1905,2,-4.7,Norway
1905-03-15,1905,3,-3.1,Norway
1905-04-15,1905,4,-2.1,Norway
1905-05-15,1905,5,4.5,Norway
1905-06-15,1905,6,10.3,Norway
1905-07-15,1905,7,11.4,Norway
1905-08-15,1905,8,9.7,Norway
1905-09-15,1905,9,6.2,Norway
1905-10-15,1905,10,-1.4,Norway
1905-11-15,1905,11,-3.1,Norway
1905-12-15,1905,12,-2.4,Norway
1906-01-15,1906,1,-4.0,Norway
1906-02-15,1906,2,-4.9,Norway
1906-03-15,1906,3,-5.8,Norway
1906-04-15,1906,4,0.5,Norway
1906-05-15,1906,5,4.7,Norway
1906-06-15,1906,6,9.2,Norway
1906-07-15,1906,7,11.2,Norway
1906-08-15,1906,8,9.5,Norway
1906-09-15,1906,9,6.7,Norway
1906-10-15,1906,10,2.6,Norway
1906-11-15,1906,11,-0.8,Norway
1906-12-15,1906,12,-5.4,Norway
1907-01-15,1907,1,-6.8,Norway
1907-02-15,1907,2,-4.5,Norway
1907-03-15,1907,3,-2.0,Norway
1907-04-15,1907,4,0.1,Norway
1907-05-15,1907,5,2.7,Norway
1907-06-15,1907,6,8.5,Norway
1907-07-15,1907,7,9.8,Norway
1907-08-15,1907,8,8.1,Norway
1907-09-15,1907,9,5.7,Norway
1907-10-15,1907,10,4.8,Norway
1907-11-15,1907,11,-0.6,Norway
1907-12-15,1907,12,-6.5,Norway
1908-01-15,1908,1,-4.6,Norway
1908-02-15,1908,2,-4.5,Norway
1908-03-15,1908,3,-5.3,Norway
1908-04-15,1908,4,-0.4,Norway
1908-05-15,1908,5,3.4,Norway
1908-06-15,1908,6,7.9,Norway
1908-07-15,1908,7,11.3,Norway
1908-08-15,1908,8,10.6,Norway
1908-09-15,1908,9,6.3,Norway
1908-10-15,1908,10,3.8,Norway
1908-11-15,1908,11,-4.7,Norway
1908-12-15,1908,12,-3.2,Norway
1909-01-15,1909,1,-2.7,Norway
1909-02-15,1909,2,-6.8,Norway
1909-03-15,1909,3,-6.8,Norway
1909-04-15,1909,4,-2.5,Norway
1909-05-15,1909,5,1.6,Norway
1909-06-15,1909,6,8.0,Norway
1909-07-15,1909,7,10.5,Norway
1909-08-15,1909,8,9.7,Norway
1909-09-15,1909,9,6.6,Norway
1909-10-15,1909,10,4.2,Norway
1909-11-15,1909,11,-5.6,Norway
1909-12-15,1909,12,-5.3,Norway
1910-01-15,1910,1,-5.7,Norway
1910-02-15,1910,2,-1.7,Norway
1910-03-15,1910,3,-2.1,Norway
1910-04-15,1910,4,0.1,Norway
1910-05-15,1910,5,5.3,Norway
1910-06-15,1910,6,9.0,Norway
1910-07-15,1910,7,10.6,Norway
1910-08-15,1910,8,10.2,Norway
1910-09-15,1910,9,6.9,Norway
1910-10-15,1910,10,1.8,Norway
1910-11-15,1910,11,-3.9,Norway
1910-12-15,1910,12,-4.3,Norway
1911-01-15,1911,1,-4.3,Norway
1911-02-15,1911,2,-5.1,Norway
1911-03-15,1911,3,-3.3,Norway
1911-04-15,1911,4,-0.5,Norway
1911-05-15,1911,5,6.1,Norway
1911-06-15,1911,6,8.0,Norway
1911-07-15,1911,7,10.8,Norway
1911-08-15,1911,8,11.8,Norway
1911-09-15,1911,9,7.4,Norway
1911-10-15,1911,10,0.3,Norway
1911-11-15,1911,11,-2.9,Norway
1911-12-15,1911,12,-1.6,Norway
1912-01-15,1912,1,-9.6,Norway
1912-02-15,1912,2,-8.7,Norway
1912-03-15,1912,3,-2.3,Norway
1912-04-15,1912,4,-1.3,Norway
1912-05-15,1912,5,3.7,Norway
1912-06-15,1912,6,9.2,Norway
1912-07-15,1912,7,12.4,Norway
1912-08-15,1912,8,10.5,Norway
1912-09-15,1912,9,5.3,Norway
1912-10-15,1912,10,0.6,Norway
1912-11-15,1912,11,-2.9,Norway
1912-12-15,1912,12,-3.2,Norway
1913-01-15,1913,1,-7.9,Norway
1913-02-15,1913,2,-3.9,Norway
1913-03-15,1913,3,-2.9,Norway
