date,year,month,temp_c,country
1901-01-15,1901,1,27.3,Paraguay
1901-02-15,1901,2,27.4,Paraguay
1901-03-15,1901,3,26.4,Paraguay
1901-04-15,1901,4,22.4,Paraguay
1901-05-15,1901,5,21.7,Paraguay
1901-06-15,1901,6,19.8,Paraguay
1901-07-15,1901,7,20.4,Paraguay
1901-08-15,1901,8,21.1,Paraguay
1901-09-15,1901,9,24.4,Paraguay
1901-10-15,1901,10,25.8,Paraguay
1901-11-15,1901,11,26.1,Paraguay
1901-12-15,1901,12,27.2,Paraguay
1902-01-15,1902,1,27.4,Paraguay
1902-02-15,1902,2,28.1,Paraguay
1902-03-15,1902,3,26.6,Paraguay
1902-04-15,1902,4,24.3,Paraguay
1902-05-15,1902,5,22.4,Paraguay
1902-06-15,1902,6,21.1,Paraguay
1902-07-15,1902,7,20.1,Paraguay
1902-08-15,1902,8,18.7,Paraguay
1902-09-15,1902,9,24.0,Paraguay
1902-10-15,1902,10,24.7,Paraguay
1902-11-15,1902,11,26.5,Paraguay
1902-12-15,1902,12,27.7,Paraguay
1903-01-15,1903,1,27.5,Paraguay
1903-02-15,1903,2,27.5,Paraguay
1903-03-15,1903,3,26.2,Paraguay
1903-04-15,1903,4,23.0,Paraguay
1903-05-15,1903,5,20.4,Paraguay
1903-06-15,1903,6,19.9,Paraguay
1903-07-15,1903,7,19.5,Paraguay
1903-08-15,1903,8,20.4,Paraguay
1903-09-15,1903,9,24.1,Paraguay
1903-10-15,1903,10,23.8,Paraguay
1903-11-15,1903,11,25.6,Paraguay
1903-12-15,1903,12,26.7,Paraguay
1904-01-15,1904,1,27.0,Paraguay
1904-02-15,1904,2,26.8,Paraguay
1904-03-15,1904,3,26.3,Paraguay
1904-04-15,1904,4,24.0,Paraguay
1904-05-15,1904,5,20.3,Paraguay
1904-06-15,1904,6,19.0,Paraguay
1904-07-15,1904,7,20.4,Paraguay
1904-08-15,1904,8,20.7,Paraguay
1904-09-15,1904,9,23.7,Paraguay
1904-10-15,1904,10,24.2,Paraguay
1904-11-15,1904,11,25.8,Paraguay
1904-12-15,1904,12,26.3,Paraguay
1905-01-15,1905,1,26.8,Paraguay
1905-02-15,1905,2,26.7,Paraguay
1905-03-15,1905,3,26.2,Paraguay
1905-04-15,1905,4,22.9,Paraguay
1905-05-15,1905,5,21.1,Paraguay
1905-06-15,1905,6,20.1,Paraguay
1905-07-15,1905,7,18.9,Paraguay
1905-08-15,1905,8,20.6,Paraguay
1905-09-15,1905,9,23.2,Paraguay
1905-10-15,1905,10,25.8,Paraguay
1905-11-15,1905,11,25.4,Paraguay
1905-12-15,1905,12,27.0,Paraguay
1906-01-15,1906,1,27.6,Paraguay
1906-02-15,1906,2,28.1,Paraguay
1906-03-15,1906,3,27.1,Paraguay
1906-04-15,1906,4,24.1,Paraguay
1906-05-15,1906,5,22.5,Paraguay
1906-06-15,1906,6,18.4,Paraguay
1906-07-15,1906,7,19.8,Paraguay
1906-08-15,1906,8,20.9,Paraguay
1906-09-15,1906,9,22.8,Paraguay
1906-10-15,1906,10,25.3,Paraguay
1906-11-15,1906,11,26.4,Paraguay
1906-12-15,1906,12,27.1,Paraguay
1907-01-15,1907,1,27.7,Paraguay
1907-02-15,1907,2,27.6,Paraguay
1907-03-15,1907,3,26.9,Paraguay
1907-04-15,1907,4,23.5,Paraguay
1907-05-15,1907,5,20.3,Paraguay
1907-06-15,1907,6,18.9,Paraguay
1907-07-15,1907,7,19.1,Paraguay
1907-08-15,1907,8,19.8,Paraguay
1907-09-15,1907,9,23.0,Paraguay
1907-10-15,1907,10,24.6,Paraguay
1907-11-15,1907,11,26.4,Paraguay
1907-12-15,1907,12,27.8,Paraguay
1908-01-15,1908,1,28.0,Paraguay
1908-02-15,1908,2,27.3,Paraguay
1908-03-15,1908,3,26.6,Paraguay
1908-04-15,1908,4,23.3,Paraguay
1908-05-15,1908,5,21.0,Paraguay
1908-06-15,1908,6,19.7,Paraguay
1908-07-15,1908,7,20.2,Paraguay
1908-08-15,1908,8,19.8,Paraguay
1908-09-15,1908,9,23.1,Paraguay
1908-10-15,1908,10,24.2,Paraguay
1908-11-15,1908,11,26.0,Paraguay
1908-12-15,1908,12,27.2,Paraguay
1909-01-15,1909,1,28.3,Paraguay
1909-02-15,1909,2,27.0,Paraguay
1909-03-15,1909,3,26.0,Paraguay
