date,year,month,temp_c,country
1901-01-15,1901,1,20.1,Peru
1901-02-15,1901,2,20.5,Peru
1901-03-15,1901,3,20.2,Peru
1901-04-15,1901,4,19.9,Peru
1901-05-15,1901,5,19.3,Peru
1901-06-15,1901,6,18.3,Peru
1901-07-15,1901,7,17.9,Peru
1901-08-15,1901,8,18.7,Peru
1901-09-15,1901,9,19.2,Peru
1901-10-15,1901,10,19.4,Peru
1901-11-15,1901,11,19.6,Peru
1901-12-15,1901,12,19.9,Peru
1902-01-15,1902,1,20.0,Peru
1902-02-15,1902,2,20.1,Peru
1902-03-15,1902,3,20.2,Peru
1902-04-15,1902,4,19.9,Peru
1902-05-15,1902,5,19.3,Peru
1902-06-15,1902,6,18.2,Peru
1902-07-15,1902,7,18.2,Peru
1902-08-15,1902,8,18.5,Peru
1902-09-15,1902,9,19.2,Peru
1902-10-15,1902,10,19.3,Peru
1902-11-15,1902,11,19.8,Peru
1902-12-15,1902,12,20.1,Peru
1903-01-15,1903,1,20.3,Peru
1903-02-15,1903,2,20.8,Peru
1903-03-15,1903,3,20.3,Peru
1903-04-15,1903,4,19.6,Peru
1903-05-15,1903,5,19.0,Peru
1903-06-15,1903,6,18.1,Peru
1903-07-15,1903,7,17.9,Peru
1903-08-15,1903,8,18.3,Peru
1903-09-15,1903,9,19.1,Peru
1903-10-15,1903,10,19.1,Peru
1903-11-15,1903,11,19.4,Peru
1903-12-15,1903,12,19.5,Peru
1904-01-15,1904,1,19.8,Peru
1904-02-15,1904,2,20.0,Peru
1904-03-15,1904,3,19.9,Peru
1904-04-15,1904,4,19.6,Peru
1904-05-15,1904,5,18.9,Peru
1904-06-15,1904,6,18.3,Peru
1904-07-15,1904,7,17.8,Peru
1904-08-15,1904,8,18.5,Peru
1904-09-15,1904,9,19.0,Peru
1904-10-15,1904,10,19.1,Peru
1904-11-15,1904,11,19.7,Peru
1904-12-15,1904,12,19.9,Peru
1905-01-15,1905,1,20.0,Peru
1905-02-15,1905,2,20.5,Peru
1905-03-15,1905,3,20.0,Peru
1905-04-15,1905,4,19.8,Peru
1905-05-15,1905,5,19.2,Peru
1905-06-15,1905,6,18.5,Peru
1905-07-15,1905,7,18.0,Peru
1905-08-15,1905,8,18.5,Peru
1905-09-15,1905,9,19.0,Peru
1905-10-15,1905,10,19.4,Peru
1905-11-15,1905,11,19.7,Peru
1905-12-15,1905,12,19.9,Peru
1906-01-15,1906,1,20.1,Peru
1906-02-15,1906,2,20.4,Peru
1906-03-15,1906,3,20.2,Peru
1906-04-15,1906,4,19.9,Peru
1906-05-15,1906,5,19.2,Peru
1906-06-15,1906,6,18.0,Peru
1906-07-15,1906,7,17.9,Peru
1906-08-15,1906,8,18.4,Peru
1906-09-15,1906,9,19.1,Peru
1906-10-15,1906,10,19.0,Peru
1906-11-15,1906,11,19.7,Peru
1906-12-15,1906,12,19.6,Peru
1907-01-15,1907,1,19.9,Peru
1907-02-15,1907,2,19.9,Peru
1907-03-15,1907,3,20.3,Peru
1907-04-15,1907,4,19.6,Peru
1907-05-15,1907,5,19.1,Peru
1907-06-15,1907,6,18.2,Peru
1907-07-15,1907,7,17.8,Peru
1907-08-15,1907,8,18.4,Peru
1907-09-15,1907,9,19.1,Peru
1907-10-15,1907,10,19.2,Peru
1907-11-15,1907,11,19.7,Peru
1907-12-15,1907,12,20.0,Peru
1908-01-15,1908,1,20.2,Peru
1908-02-15,1908,2,20.2,Peru
1908-03-15,1908,3,20.2,Peru
1908-04-15,1908,4,19.8,Peru
1908-05-15,1908,5,19.2,Peru
1908-06-15,1908,6,18.4,Peru
1908-07-15,1908,7,17.8,Peru
1908-08-15,1908,8,18.2,Peru
1908-09-15,1908,9,18.9,Peru
1908-10-15,1908,10,18.9,Peru
1908-11-15,1908,11,19.5,Peru
1908-12-15,1908,12,19.8,Peru
1909-01-15,1909,1,19.9,Peru
1909-02-15,1909,2,20.0,Peru
1909-03-15,1909,3,20.2,Peru
1909-04-15,1909,4,19.5,Peru
1909-05-15,1909,5,19.2,Peru
1909-06-15,1909,6,17.9,Peru
1909-07-15,1909,7,17.7,Peru
1909-08-15,1909,8,18.2,Peru
1909-09-15,1909,9,19.1,Peru
1909-10-15,1909,10,19.2,Peru
1909-11-15,1909,11,19.5,Peru
1909-12-15,1909,12,19.8,Peru
1910-01-15,1910,1,20.1,Peru
1910-02-15,1910,2,20.3,Peru
1910-03-15,1910,3,20.2,Peru
1910-04-15,1910,4,19.3,Peru
1910-05-15,1910,5,18.4,Peru
1910-06-15,1910,6,17.3,Peru
1910-07-15,1910,7,17.1,Peru
1910-08-15,1910,8,17.6,Peru
1910-09-15,1910,9,18.0,Peru
1910-10-15,1910,10,18.4,Peru
1910-11-15,1910,11,19.2,Peru
1910-12-15,1910,12,19.3,Peru
1911-01-15,1911,1,19.9,Peru
1911-02-15,1911,2,20.2,Peru
1911-03-15,1911,3,19.5,Peru
1911-04-15,1911,4,19.2,Peru
1911-05-15,1911,5,18.4,Peru
1911-06-15,1911,6,18.0,Peru
1911-07-15,1911,7,17.7,Peru
1911-08-15,1911,8,18.3,Peru
1911-09-15,1911,9,18.7,Peru
1911-10-15,1911,10,19.2,Peru
1911-11-15,1911,11,20.0,Peru
1911-12-15,1911,12,20.6,Peru
1912-01-15,1912,1,21.1,Peru
1912-02-15,1912,2,21.3,Peru
1912-03-15,1912,3,21.3,Peru
1912-04-15,1912,4,20.7,Peru
1912-05-15,1912,5,18.9,Peru
1912-06-15,1912,6,17.6,Peru
1912-07-15,1912,7,17.3,Peru
1912-08-15,1912,8,17.9,Peru
1912-09-15,1912,9,19.0,Peru
1912-10-15,1912,10,19.4,Peru
1912-11-15,1912,11,19.3,Peru
1912-12-15,1912,12,20.1,Peru
1913-01-15,1913,1,20.6,Peru
1913-02-15,1913,2,20.3,Peru
1913-03-15,1913,3,20.6,Peru
1913-04-15,1913,4,19.9,Peru
1913-05-15,1913,5,18.8,Peru
1913-06-15,1913,6,17.8,Peru
1913-07-15,1913,7,18.0,Peru
1913-08-15,1913,8,18.7,Peru
1913-09-15,1913,9,19.2,Peru
1913-10-15,1913,10,20.2,Peru
1913-11-15,1913,11,20.7,Peru
1913-12-15,1913,12,20.5,Peru
1914-01-15,1914,1,20.9,Peru
1914-02-15,1914,2,21.0,Peru
1914-03-15,1914,3,20.6,Peru
1914-04-15,1914,4,19.9,Peru
1914-05-15,1914,5,18.8,Peru
1914-06-15,1914,6,17.7,Peru
1914-07-15,1914,7,17.7,Peru
1914-08-15,1914,8,18.6,Peru
1914-09-15,1914,9,18.9,Peru
1914-10-15,1914,10,19.4,Peru
1914-11-15,1914,11,19.7,Peru
1914-12-15,1914,12,20.7,Peru
1915-01-15,1915,1,21.1,Peru
1915-02-15,1915,2,21.7,Peru
1915-03-15,1915,3,21.0,Peru
1915-04-15,1915,4,20.7,Peru
1915-05-15,1915,5,19.3,Peru
1915-06-15,1915,6,17.9,Peru
1915-07-15,1915,7,18.1,Peru
1915-08-15,1915,8,18.6,Peru
1915-09-15,1915,9,18.6,Peru
1915-10-15,1915,10,19.0,Peru
1915-11-15,1915,11,19.3,Peru
1915-12-15,1915,12,20.3,Peru
1916-01-15,1916,1,20.4,Peru
1916-02-15,1916,2,20.7,Peru
1916-03-15,1916,3,20.5,Peru
1916-04-15,1916,4,20.4,Peru
1916-05-15,1916,5,19.0,Peru
1916-06-15,1916,6,16.9,Peru
1916-07-15,1916,7,16.6,Peru
1916-08-15,1916,8,17.4,Peru
1916-09-15,1916,9,18.9,Peru
1916-10-15,1916,10,18.7,Peru
1916-11-15,1916,11,18.7,Peru
1916-12-15,1916,12,20.2,Peru
1917-01-15,1917,1,20.5,Peru
1917-02-15,1917,2,20.8,Peru
1917-03-15,1917,3,20.9,Peru
1917-04-15,1917,4,20.4,Peru
1917-05-15,1917,5,19.4,Peru
1917-06-15,1917,6,18.5,Peru
1917-07-15,1917,7,17.5,Peru
1917-08-15,1917,8,18.1,Peru
1917-09-15,1917,9,18.5,Peru
1917-10-15,1917,10,18.8,Peru
1917-11-15,1917,11,19.8,Peru
1917-12-15,1917,12,19.4,Peru
1918-01-15,1918,1,20.1,Peru
1918-02-15,1918,2,20.1,Peru
1918-03-15,1918,3,20.4,Peru
1918-04-15,1918,4,19.9,Peru
1918-05-15,1918,5,17.8,Peru
1918-06-15,1918,6,19.4,Peru
1918-07-15,1918,7,18.9,Peru
1918-08-15,1918,8,19.7,Peru
1918-09-15,1918,9,19.3,Peru
1918-10-15,1918,10,19.2,Peru
1918-11-15,1918,11,19.8,Peru
1918-12-15,1918,12,20.4,Peru
1919-01-15,1919,1,21.0,Peru
1919-02-15,1919,2,21.5,Peru
1919-03-15,1919,3,20.6,Peru
1919-04-15,1919,4,20.5,Peru
1919-05-15,1919,5,19.9,Peru
1919-06-15,1919,6,17.7,Peru
1919-07-15,1919,7,17.3,Peru
1919-08-15,1919,8,18.0,Peru
1919-09-15,1919,9,19.2,Peru
1919-10-15,1919,10,19.2,Peru
1919-11-15,1919,11,19.8,Peru
1919-12-15,1919,12,20.0,Peru
1920-01-15,1920,1,20.4,Peru
1920-02-15,1920,2,20.6,Peru
1920-03-15,1920,3,20.6,Peru
1920-04-15,1920,4,19.8,Peru
1920-05-15,1920,5,18.6,Peru
1920-06-15,1920,6,17.4,Peru
1920-07-15,1920,7,16.8,Peru
1920-08-15,1920,8,17.9,Peru
1920-09-15,1920,9,18.8,Peru
1920-10-15,1920,10,19.4,Peru
1920-11-15,1920,11,19.8,Peru
1920-12-15,1920,12,19.8,Peru
1921-01-15,1921,1,20.0,Peru
1921-02-15,1921,2,20.0,Peru
1921-03-15,1921,3,20.2,Peru
1921-04-15,1921,4,19.5,Peru
1921-05-15,1921,5,19.1,Peru
1921-06-15,1921,6,16.6,Peru
1921-07-15,1921,7,16.2,Peru
1921-08-15,1921,8,17.8,Peru
1921-09-15,1921,9,18.3,Peru
1921-10-15,1921,10,18.7,Peru
1921-11-15,1921,11,19.7,Peru
1921-12-15,1921,12,20.2,Peru
1922-01-15,1922,1,20.6,Peru
1922-02-15,1922,2,20.8,Peru
1922-03-15,1922,3,20.6,Peru
1922-04-15,1922,4,20.1,Peru
1922-05-15,1922,5,19.2,Peru
1922-06-15,1922,6,18.3,Peru
1922-07-15,1922,7,18.2,Peru
1922-08-15,1922,8,18.4,Peru
1922-09-15,1922,9,19.3,Peru
1922-10-15,1922,10,19.3,Peru
1922-11-15,1922,11,19.9,Peru
1922-12-15,1922,12,20.3,Peru
1923-01-15,1923,1,20.5,Peru
1923-02-15,1923,2,20.7,Peru
1923-03-15,1923,3,20.8,Peru
1923-04-15,1923,4,20.1,Peru
1923-05-15,1923,5,19.2,Peru
1923-06-15,1923,6,18.3,Peru
1923-07-15,1923,7,18.1,Peru
1923-08-15,1923,8,18.5,Peru
1923-09-15,1923,9,19.5,Peru
1923-10-15,1923,10,19.5,Peru
1923-11-15,1923,11,20.1,Peru
1923-12-15,1923,12,20.3,Peru
