date,year,month,temp_c,country
1901-01-15,1901,1,18.0,Ryukyu_Isl
1901-02-15,1901,2,13.4,Ryukyu_Isl
1901-03-15,1901,3,16.7,Ryukyu_Isl
1901-04-15,1901,4,21.0,Ryukyu_Isl
1901-05-15,1901,5,22.7,Ryukyu_Isl
1901-06-15,1901,6,25.4,Ryukyu_Isl
1901-07-15,1901,7,27.4,Ryukyu_Isl
1901-08-15,1901,8,27.1,Ryukyu_Isl
1901-09-15,1901,9,25.5,Ryukyu_Isl
1901-10-15,1901,10,23.9,Ryukyu_Isl
1901-11-15,1901,11,19.8,Ryukyu_Isl
1901-12-15,1901,12,16.7,Ryukyu_Isl
1902-01-15,1902,1,16.3,Ryukyu_Isl
1902-02-15,1902,2,14.7,Ryukyu_Isl
1902-03-15,1902,3,18.9,Ryukyu_Isl
1902-04-15,1902,4,20.8,Ryukyu_Isl
1902-05-15,1902,5,23.5,Ryukyu_Isl
1902-06-15,1902,6,25.3,Ryukyu_Isl
1902-07-15,1902,7,27.1,Ryukyu_Isl
1902-08-15,1902,8,27.2,Ryukyu_Isl
1902-09-15,1902,9,25.2,Ryukyu_Isl
1902-10-15,1902,10,23.1,Ryukyu_Isl
1902-11-15,1902,11,22.0,Ryukyu_Isl
1902-12-15,1902,12,18.6,Ryukyu_Isl
1903-01-15,1903,1,15.8,Ryukyu_Isl
1903-02-15,1903,2,15.3,Ryukyu_Isl
1903-03-15,1903,3,19.4,Ryukyu_Isl
1903-04-15,1903,4,21.0,Ryukyu_Isl
1903-05-15,1903,5,22.5,Ryukyu_Isl
1903-06-15,1903,6,25.2,Ryukyu_Isl
1903-07-15,1903,7,27.1,Ryukyu_Isl
1903-08-15,1903,8,27.3,Ryukyu_Isl
1903-09-15,1903,9,26.5,Ryukyu_Isl
1903-10-15,1903,10,24.0,Ryukyu_Isl
1903-11-15,1903,11,19.6,Ryukyu_Isl
1903-12-15,1903,12,16.3,Ryukyu_Isl
1904-01-15,1904,1,15.4,Ryukyu_Isl
1904-02-15,1904,2,16.3,Ryukyu_Isl
1904-03-15,1904,3,17.5,Ryukyu_Isl
1904-04-15,1904,4,21.3,Ryukyu_Isl
1904-05-15,1904,5,22.7,Ryukyu_Isl
1904-06-15,1904,6,25.7,Ryukyu_Isl
1904-07-15,1904,7,27.4,Ryukyu_Isl
1904-08-15,1904,8,26.7,Ryukyu_Isl
1904-09-15,1904,9,25.8,Ryukyu_Isl
1904-10-15,1904,10,23.6,Ryukyu_Isl
1904-11-15,1904,11,19.2,Ryukyu_Isl
1904-12-15,1904,12,16.7,Ryukyu_Isl
1905-01-15,1905,1,17.7,Ryukyu_Isl
1905-02-15,1905,2,14.9,Ryukyu_Isl
1905-03-15,1905,3,17.4,Ryukyu_Isl
1905-04-15,1905,4,19.7,Ryukyu_Isl
1905-05-15,1905,5,23.6,Ryukyu_Isl
1905-06-15,1905,6,26.2,Ryukyu_Isl
1905-07-15,1905,7,27.6,Ryukyu_Isl
1905-08-15,1905,8,27.2,Ryukyu_Isl
1905-09-15,1905,9,26.3,Ryukyu_Isl
1905-10-15,1905,10,23.8,Ryukyu_Isl
1905-11-15,1905,11,20.4,Ryukyu_Isl
1905-12-15,1905,12,19.3,Ryukyu_Isl
1906-01-15,1906,1,15.7,Ryukyu_Isl
1906-02-15,1906,2,16.3,Ryukyu_Isl
1906-03-15,1906,3,17.0,Ryukyu_Isl
1906-04-15,1906,4,20.6,Ryukyu_Isl
1906-05-15,1906,5,24.0,Ryukyu_Isl
1906-06-15,1906,6,26.8,Ryukyu_Isl
1906-07-15,1906,7,27.7,Ryukyu_Isl
1906-08-15,1906,8,28.1,Ryukyu_Isl
1906-09-15,1906,9,27.3,Ryukyu_Isl
1906-10-15,1906,10,23.6,Ryukyu_Isl
1906-11-15,1906,11,20.0,Ryukyu_Isl
1906-12-15,1906,12,17.3,Ryukyu_Isl
1907-01-15,1907,1,16.7,Ryukyu_Isl
