date,year,month,temp_c,country
1901-01-15,1901,1,-15.4,Svalbard
1901-02-15,1901,2,-17.2,Svalbard
1901-03-15,1901,3,-16.5,Svalbard
1901-04-15,1901,4,-13.6,Svalbard
1901-05-15,1901,5,-6.6,Svalbard
1901-06-15,1901,6,-0.8,Svalbard
1901-07-15,1901,7,2.5,Svalbard
1901-08-15,1901,8,1.8,Svalbard
1901-09-15,1901,9,-1.3,Svalbard
1901-10-15,1901,10,-6.2,Svalbard
1901-11-15,1901,11,-11.7,Svalbard
1901-12-15,1901,12,-15.6,Svalbard
1902-01-15,1902,1,-16.8,Svalbard
1902-02-15,1902,2,-16.9,Svalbard
1902-03-15,1902,3,-17.2,Svalbard
1902-04-15,1902,4,-14.0,Svalbard
1902-05-15,1902,5,-6.7,Svalbard
1902-06-15,1902,6,-1.6,Svalbard
1902-07-15,1902,7,1.9,Svalbard
1902-08-15,1902,8,1.7,Svalbard
1902-09-15,1902,9,-1.9,Svalbard
1902-10-15,1902,10,-7.4,Svalbard
1902-11-15,1902,11,-11.4,Svalbard
1902-12-15,1902,12,-14.4,Svalbard
1903-01-15,1903,1,-16.1,Svalbard
1903-02-15,1903,2,-16.3,Svalbard
1903-03-15,1903,3,-15.9,Svalbard
1903-04-15,1903,4,-13.8,Svalbard
1903-05-15,1903,5,-6.5,Svalbard
1903-06-15,1903,6,-1.2,Svalbard
1903-07-15,1903,7,2.0,Svalbard
1903-08-15,1903,8,1.9,Svalbard
1903-09-15,1903,9,-1.7,Svalbard
1903-10-15,1903,10,-7.6,Svalbard
1903-11-15,1903,11,-11.4,Svalbard
1903-12-15,1903,12,-14.6,Svalbard
1904-01-15,1904,1,-15.6,Svalbard
1904-02-15,1904,2,-17.3,Svalbard
1904-03-15,1904,3,-16.3,Svalbard
1904-04-15,1904,4,-13.3,Svalbard
1904-05-15,1904,5,-6.6,Svalbard
1904-06-15,1904,6,-1.1,Svalbard
1904-07-15,1904,7,2.1,Svalbard
1904-08-15,1904,8,1.8,Svalbard
1904-09-15,1904,9,-1.4,Svalbard
1904-10-15,1904,10,-6.4,Svalbard
