date,year,month,temp_c,country
1901-01-15,1901,1,-4.6,Switzerland
1901-02-15,1901,2,-7.0,Switzerland
1901-03-15,1901,3,-0.6,Switzerland
1901-04-15,1901,4,5.0,Switzerland
1901-05-15,1901,5,9.0,Switzerland
1901-06-15,1901,6,12.9,Switzerland
1901-07-15,1901,7,14.5,Switzerland
1901-08-15,1901,8,13.1,Switzerland
1901-09-15,1901,9,11.3,Switzerland
1901-10-15,1901,10,6.0,Switzerland
1901-11-15,1901,11,-0.6,Switzerland
1901-12-15,1901,12,-1.4,Switzerland
1902-01-15,1902,1,-1.2,Switzerland
1902-02-15,1902,2,-2.3,Switzerland
1902-03-15,1902,3,0.8,Switzerland
1902-04-15,1902,4,6.4,Switzerland
1902-05-15,1902,5,4.7,Switzerland
1902-06-15,1902,6,11.1,Switzerland
1902-07-15,1902,7,14.3,Switzerland
1902-08-15,1902,8,13.0,Switzerland
1902-09-15,1902,9,10.5,Switzerland
1902-10-15,1902,10,5.4,Switzerland
1902-11-15,1902,11,0.5,Switzerland
1902-12-15,1902,12,-2.9,Switzerland
1903-01-15,1903,1,-2.7,Switzerland
1903-02-15,1903,2,0.3,Switzerland
1903-03-15,1903,3,2.4,Switzerland
1903-04-15,1903,4,1.3,Switzerland
1903-05-15,1903,5,8.7,Switzerland
1903-06-15,1903,6,11.2,Switzerland
1903-07-15,1903,7,12.9,Switzerland
1903-08-15,1903,8,13.3,Switzerland
1903-09-15,1903,9,11.0,Switzerland
1903-10-15,1903,10,7.3,Switzerland
1903-11-15,1903,11,1.7,Switzerland
1903-12-15,1903,12,-3.1,Switzerland
1904-01-15,1904,1,-3.5,Switzerland
1904-02-15,1904,2,-1.5,Switzerland
1904-03-15,1904,3,0.8,Switzerland
1904-04-15,1904,4,6.2,Switzerland
1904-05-15,1904,5,9.5,Switzerland
1904-06-15,1904,6,12.9,Switzerland
1904-07-15,1904,7,16.4,Switzerland
1904-08-15,1904,8,14.4,Switzerland
1904-09-15,1904,9,8.8,Switzerland
1904-10-15,1904,10,6.1,Switzerland
1904-11-15,1904,11,0.3,Switzerland
1904-12-15,1904,12,-1.1,Switzerland
1905-01-15,1905,1,-5.3,Switzerland
1905-02-15,1905,2,-2.3,Switzerland
1905-03-15,1905,3,1.7,Switzerland
1905-04-15,1905,4,3.9,Switzerland
1905-05-15,1905,5,7.6,Switzerland
1905-06-15,1905,6,13.0,Switzerland
1905-07-15,1905,7,16.4,Switzerland
1905-08-15,1905,8,13.6,Switzerland
1905-09-15,1905,9,11.1,Switzerland
1905-10-15,1905,10,2.7,Switzerland
1905-11-15,1905,11,0.9,Switzerland
1905-12-15,1905,12,-1.8,Switzerland
1906-01-15,1906,1,-2.5,Switzerland
1906-02-15,1906,2,-3.4,Switzerland
1906-03-15,1906,3,-0.4,Switzerland
1906-04-15,1906,4,4.3,Switzerland
1906-05-15,1906,5,8.7,Switzerland
1906-06-15,1906,6,11.1,Switzerland
1906-07-15,1906,7,14.1,Switzerland
1906-08-15,1906,8,14.1,Switzerland
1906-09-15,1906,9,9.7,Switzerland
1906-10-15,1906,10,8.1,Switzerland
1906-11-15,1906,11,3.0,Switzerland
1906-12-15,1906,12,-4.7,Switzerland
1907-01-15,1907,1,-3.9,Switzerland
1907-02-15,1907,2,-4.8,Switzerland
1907-03-15,1907,3,-1.1,Switzerland
1907-04-15,1907,4,2.6,Switzerland
1907-05-15,1907,5,9.6,Switzerland
1907-06-15,1907,6,11.8,Switzerland
1907-07-15,1907,7,12.1,Switzerland
1907-08-15,1907,8,14.0,Switzerland
1907-09-15,1907,9,11.4,Switzerland
1907-10-15,1907,10,8.1,Switzerland
1907-11-15,1907,11,2.1,Switzerland
1907-12-15,1907,12,-0.5,Switzerland
1908-01-15,1908,1,-4.7,Switzerland
1908-02-15,1908,2,-2.4,Switzerland
1908-03-15,1908,3,-0.8,Switzerland
1908-04-15,1908,4,2.2,Switzerland
1908-05-15,1908,5,10.4,Switzerland
1908-06-15,1908,6,14.0,Switzerland
1908-07-15,1908,7,13.6,Switzerland
1908-08-15,1908,8,11.8,Switzerland
1908-09-15,1908,9,9.4,Switzerland
1908-10-15,1908,10,6.3,Switzerland
1908-11-15,1908,11,-0.2,Switzerland
1908-12-15,1908,12,-2.5,Switzerland
1909-01-15,1909,1,-5.0,Switzerland
1909-02-15,1909,2,-5.4,Switzerland
1909-03-15,1909,3,-1.1,Switzerland
1909-04-15,1909,4,5.7,Switzerland
1909-05-15,1909,5,7.7,Switzerland
1909-06-15,1909,6,10.6,Switzerland
1909-07-15,1909,7,11.8,Switzerland
1909-08-15,1909,8,13.1,Switzerland
1909-09-15,1909,9,9.9,Switzerland
1909-10-15,1909,10,7.6,Switzerland
1909-11-15,1909,11,-0.6,Switzerland
1909-12-15,1909,12,-0.6,Switzerland
1910-01-15,1910,1,-2.1,Switzerland
1910-02-15,1910,2,-1.0,Switzerland
1910-03-15,1910,3,0.9,Switzerland
1910-04-15,1910,4,3.8,Switzerland
1910-05-15,1910,5,7.5,Switzerland
1910-06-15,1910,6,12.4,Switzerland
1910-07-15,1910,7,12.0,Switzerland
1910-08-15,1910,8,12.7,Switzerland
1910-09-15,1910,9,8.7,Switzerland
1910-10-15,1910,10,7.1,Switzerland
1910-11-15,1910,11,0.2,Switzerland
1910-12-15,1910,12,0.5,Switzerland
1911-01-15,1911,1,-5.2,Switzerland
1911-02-15,1911,2,-2.1,Switzerland
1911-03-15,1911,3,1.1,Switzerland
1911-04-15,1911,4,3.8,Switzerland
1911-05-15,1911,5,8.8,Switzerland
1911-06-15,1911,6,11.6,Switzerland
1911-07-15,1911,7,16.6,Switzerland
1911-08-15,1911,8,16.3,Switzerland
1911-09-15,1911,9,12.5,Switzerland
1911-10-15,1911,10,6.7,Switzerland
1911-11-15,1911,11,3.1,Switzerland
1911-12-15,1911,12,0.4,Switzerland
1912-01-15,1912,1,-2.1,Switzerland
1912-02-15,1912,2,1.1,Switzerland
1912-03-15,1912,3,3.1,Switzerland
1912-04-15,1912,4,3.4,Switzerland
1912-05-15,1912,5,9.2,Switzerland
1912-06-15,1912,6,12.2,Switzerland
1912-07-15,1912,7,13.4,Switzerland
1912-08-15,1912,8,10.6,Switzerland
1912-09-15,1912,9,7.3,Switzerland
1912-10-15,1912,10,4.7,Switzerland
1912-11-15,1912,11,-1.1,Switzerland
1912-12-15,1912,12,-0.2,Switzerland
1913-01-15,1913,1,-1.8,Switzerland
1913-02-15,1913,2,-2.1,Switzerland
1913-03-15,1913,3,3.1,Switzerland
1913-04-15,1913,4,4.5,Switzerland
1913-05-15,1913,5,8.3,Switzerland
1913-06-15,1913,6,11.4,Switzerland
1913-07-15,1913,7,10.9,Switzerland
1913-08-15,1913,8,12.1,Switzerland
