date,year,month,temp_c,country
1901-01-15,1901,1,23.3,Uganda
1901-02-15,1901,2,23.8,Uganda
1901-03-15,1901,3,23.8,Uganda
1901-04-15,1901,4,23.3,Uganda
1901-05-15,1901,5,22.8,Uganda
1901-06-15,1901,6,21.9,Uganda
1901-07-15,1901,7,21.8,Uganda
1901-08-15,1901,8,22.0,Uganda
1901-09-15,1901,9,22.4,Uganda
1901-10-15,1901,10,23.1,Uganda
1901-11-15,1901,11,23.1,Uganda
1901-12-15,1901,12,23.3,Uganda
1902-01-15,1902,1,23.3,Uganda
1902-02-15,1902,2,23.7,Uganda
1902-03-15,1902,3,23.8,Uganda
1902-04-15,1902,4,23.1,Uganda
1902-05-15,1902,5,23.4,Uganda
1902-06-15,1902,6,23.0,Uganda
1902-07-15,1902,7,22.0,Uganda
1902-08-15,1902,8,22.7,Uganda
1902-09-15,1902,9,22.5,Uganda
1902-10-15,1902,10,23.0,Uganda
1902-11-15,1902,11,22.6,Uganda
1902-12-15,1902,12,22.4,Uganda
1903-01-15,1903,1,23.5,Uganda
1903-02-15,1903,2,23.9,Uganda
1903-03-15,1903,3,23.7,Uganda
1903-04-15,1903,4,23.3,Uganda
1903-05-15,1903,5,22.8,Uganda
1903-06-15,1903,6,22.6,Uganda
1903-07-15,1903,7,21.9,Uganda
1903-08-15,1903,8,22.6,Uganda
1903-09-15,1903,9,22.3,Uganda
1903-10-15,1903,10,22.8,Uganda
1903-11-15,1903,11,22.6,Uganda
1903-12-15,1903,12,22.7,Uganda
1904-01-15,1904,1,22.8,Uganda
1904-02-15,1904,2,23.3,Uganda
1904-03-15,1904,3,23.5,Uganda
1904-04-15,1904,4,23.0,Uganda
1904-05-15,1904,5,22.9,Uganda
1904-06-15,1904,6,22.6,Uganda
1904-07-15,1904,7,22.0,Uganda
1904-08-15,1904,8,22.7,Uganda
1904-09-15,1904,9,22.4,Uganda
1904-10-15,1904,10,22.1,Uganda
1904-11-15,1904,11,22.3,Uganda
1904-12-15,1904,12,22.3,Uganda
1905-01-15,1905,1,23.3,Uganda
1905-02-15,1905,2,23.5,Uganda
1905-03-15,1905,3,23.4,Uganda
1905-04-15,1905,4,22.6,Uganda
1905-05-15,1905,5,22.6,Uganda
1905-06-15,1905,6,22.4,Uganda
1905-07-15,1905,7,21.6,Uganda
1905-08-15,1905,8,21.9,Uganda
1905-09-15,1905,9,22.3,Uganda
1905-10-15,1905,10,23.1,Uganda
1905-11-15,1905,11,22.7,Uganda
1905-12-15,1905,12,22.4,Uganda
1906-01-15,1906,1,22.6,Uganda
1906-02-15,1906,2,23.8,Uganda
1906-03-15,1906,3,23.2,Uganda
1906-04-15,1906,4,22.6,Uganda
1906-05-15,1906,5,22.5,Uganda
1906-06-15,1906,6,21.9,Uganda
1906-07-15,1906,7,21.3,Uganda
1906-08-15,1906,8,21.5,Uganda
1906-09-15,1906,9,21.9,Uganda
1906-10-15,1906,10,22.6,Uganda
1906-11-15,1906,11,22.8,Uganda
1906-12-15,1906,12,22.7,Uganda
1907-01-15,1907,1,22.8,Uganda
1907-02-15,1907,2,23.3,Uganda
1907-03-15,1907,3,23.6,Uganda
1907-04-15,1907,4,22.8,Uganda
1907-05-15,1907,5,22.4,Uganda
1907-06-15,1907,6,21.7,Uganda
1907-07-15,1907,7,21.4,Uganda
1907-08-15,1907,8,21.2,Uganda
1907-09-15,1907,9,21.9,Uganda
1907-10-15,1907,10,22.8,Uganda
1907-11-15,1907,11,22.5,Uganda
1907-12-15,1907,12,22.3,Uganda
1908-01-15,1908,1,23.3,Uganda
1908-02-15,1908,2,23.8,Uganda
1908-03-15,1908,3,23.9,Uganda
1908-04-15,1908,4,23.5,Uganda
1908-05-15,1908,5,22.9,Uganda
1908-06-15,1908,6,22.4,Uganda
1908-07-15,1908,7,21.9,Uganda
1908-08-15,1908,8,22.4,Uganda
1908-09-15,1908,9,22.4,Uganda
1908-10-15,1908,10,22.8,Uganda
1908-11-15,1908,11,22.5,Uganda
1908-12-15,1908,12,22.1,Uganda
1909-01-15,1909,1,22.3,Uganda
1909-02-15,1909,2,22.5,Uganda
1909-03-15,1909,3,23.2,Uganda
1909-04-15,1909,4,22.7,Uganda
1909-05-15,1909,5,22.4,Uganda
1909-06-15,1909,6,21.4,Uganda
1909-07-15,1909,7,21.4,Uganda
1909-08-15,1909,8,21.4,Uganda
1909-09-15,1909,9,21.9,Uganda
1909-10-15,1909,10,22.4,Uganda
1909-11-15,1909,11,21.9,Uganda
1909-12-15,1909,12,22.0,Uganda
1910-01-15,1910,1,22.6,Uganda
1910-02-15,1910,2,22.9,Uganda
1910-03-15,1910,3,23.2,Uganda
1910-04-15,1910,4,22.9,Uganda
1910-05-15,1910,5,22.0,Uganda
1910-06-15,1910,6,22.3,Uganda
1910-07-15,1910,7,21.2,Uganda
1910-08-15,1910,8,21.5,Uganda
1910-09-15,1910,9,21.4,Uganda
1910-10-15,1910,10,22.0,Uganda
1910-11-15,1910,11,22.0,Uganda
1910-12-15,1910,12,22.9,Uganda
1911-01-15,1911,1,22.9,Uganda
1911-02-15,1911,2,23.5,Uganda
1911-03-15,1911,3,23.5,Uganda
1911-04-15,1911,4,22.5,Uganda
1911-05-15,1911,5,22.7,Uganda
1911-06-15,1911,6,21.9,Uganda
1911-07-15,1911,7,21.2,Uganda
1911-08-15,1911,8,21.6,Uganda
1911-09-15,1911,9,21.6,Uganda
1911-10-15,1911,10,22.5,Uganda
1911-11-15,1911,11,22.3,Uganda
1911-12-15,1911,12,22.7,Uganda
1912-01-15,1912,1,22.6,Uganda
1912-02-15,1912,2,23.0,Uganda
1912-03-15,1912,3,23.0,Uganda
1912-04-15,1912,4,22.4,Uganda
1912-05-15,1912,5,22.2,Uganda
1912-06-15,1912,6,21.9,Uganda
1912-07-15,1912,7,21.0,Uganda
1912-08-15,1912,8,21.3,Uganda
1912-09-15,1912,9,21.7,Uganda
1912-10-15,1912,10,22.4,Uganda
1912-11-15,1912,11,22.1,Uganda
1912-12-15,1912,12,21.9,Uganda
1913-01-15,1913,1,22.4,Uganda
1913-02-15,1913,2,23.1,Uganda
1913-03-15,1913,3,22.9,Uganda
1913-04-15,1913,4,22.4,Uganda
1913-05-15,1913,5,22.2,Uganda
1913-06-15,1913,6,21.4,Uganda
1913-07-15,1913,7,20.9,Uganda
1913-08-15,1913,8,21.2,Uganda
1913-09-15,1913,9,22.0,Uganda
1913-10-15,1913,10,22.4,Uganda
1913-11-15,1913,11,22.2,Uganda
1913-12-15,1913,12,22.2,Uganda
1914-01-15,1914,1,22.6,Uganda
1914-02-15,1914,2,23.2,Uganda
1914-03-15,1914,3,23.4,Uganda
1914-04-15,1914,4,22.6,Uganda
1914-05-15,1914,5,22.2,Uganda
1914-06-15,1914,6,21.9,Uganda
1914-07-15,1914,7,21.2,Uganda
1914-08-15,1914,8,21.6,Uganda
1914-09-15,1914,9,21.9,Uganda
1914-10-15,1914,10,22.4,Uganda
1914-11-15,1914,11,22.3,Uganda
1914-12-15,1914,12,22.4,Uganda
1915-01-15,1915,1,22.9,Uganda
1915-02-15,1915,2,23.3,Uganda
1915-03-15,1915,3,23.7,Uganda
1915-04-15,1915,4,22.8,Uganda
1915-05-15,1915,5,21.8,Uganda
1915-06-15,1915,6,21.8,Uganda
1915-07-15,1915,7,21.4,Uganda
1915-08-15,1915,8,21.5,Uganda
1915-09-15,1915,9,22.0,Uganda
1915-10-15,1915,10,22.4,Uganda
1915-11-15,1915,11,21.8,Uganda
1915-12-15,1915,12,21.9,Uganda
1916-01-15,1916,1,22.6,Uganda
1916-02-15,1916,2,23.0,Uganda
1916-03-15,1916,3,22.9,Uganda
