date,year,month,temp_c,country
1901-01-15,1901,1,22.4,Uruguay
1901-02-15,1901,2,22.6,Uruguay
1901-03-15,1901,3,21.3,Uruguay
1901-04-15,1901,4,16.0,Uruguay
1901-05-15,1901,5,14.7,Uruguay
1901-06-15,1901,6,13.8,Uruguay
1901-07-15,1901,7,11.3,Uruguay
1901-08-15,1901,8,11.7,Uruguay
1901-09-15,1901,9,15.4,Uruguay
1901-10-15,1901,10,17.5,Uruguay
1901-11-15,1901,11,19.2,Uruguay
1901-12-15,1901,12,22.4,Uruguay
1902-01-15,1902,1,23.5,Uruguay
1902-02-15,1902,2,24.5,Uruguay
1902-03-15,1902,3,21.3,Uruguay
1902-04-15,1902,4,18.7,Uruguay
1902-05-15,1902,5,15.7,Uruguay
1902-06-15,1902,6,13.3,Uruguay
1902-07-15,1902,7,11.0,Uruguay
1902-08-15,1902,8,9.6,Uruguay
1902-09-15,1902,9,14.2,Uruguay
1902-10-15,1902,10,15.9,Uruguay
1902-11-15,1902,11,19.2,Uruguay
1902-12-15,1902,12,22.0,Uruguay
1903-01-15,1903,1,22.8,Uruguay
1903-02-15,1903,2,23.2,Uruguay
1903-03-15,1903,3,22.2,Uruguay
1903-04-15,1903,4,16.6,Uruguay
1903-05-15,1903,5,13.8,Uruguay
1903-06-15,1903,6,12.1,Uruguay
1903-07-15,1903,7,11.1,Uruguay
1903-08-15,1903,8,11.8,Uruguay
1903-09-15,1903,9,15.6,Uruguay
1903-10-15,1903,10,15.3,Uruguay
1903-11-15,1903,11,18.9,Uruguay
1903-12-15,1903,12,21.0,Uruguay
1904-01-15,1904,1,22.6,Uruguay
1904-02-15,1904,2,21.3,Uruguay
1904-03-15,1904,3,20.6,Uruguay
1904-04-15,1904,4,18.5,Uruguay
1904-05-15,1904,5,13.9,Uruguay
1904-06-15,1904,6,12.0,Uruguay
1904-07-15,1904,7,12.6,Uruguay
1904-08-15,1904,8,11.6,Uruguay
1904-09-15,1904,9,15.0,Uruguay
1904-10-15,1904,10,15.8,Uruguay
1904-11-15,1904,11,18.3,Uruguay
1904-12-15,1904,12,20.4,Uruguay
1905-01-15,1905,1,22.2,Uruguay
1905-02-15,1905,2,21.9,Uruguay
1905-03-15,1905,3,21.6,Uruguay
1905-04-15,1905,4,16.9,Uruguay
1905-05-15,1905,5,13.0,Uruguay
1905-06-15,1905,6,12.3,Uruguay
1905-07-15,1905,7,9.9,Uruguay
1905-08-15,1905,8,12.1,Uruguay
1905-09-15,1905,9,14.6,Uruguay
1905-10-15,1905,10,16.3,Uruguay
1905-11-15,1905,11,18.4,Uruguay
1905-12-15,1905,12,21.3,Uruguay
1906-01-15,1906,1,23.6,Uruguay
1906-02-15,1906,2,23.9,Uruguay
1906-03-15,1906,3,22.8,Uruguay
1906-04-15,1906,4,18.4,Uruguay
1906-05-15,1906,5,15.7,Uruguay
1906-06-15,1906,6,9.8,Uruguay
1906-07-15,1906,7,11.6,Uruguay
1906-08-15,1906,8,12.6,Uruguay
1906-09-15,1906,9,13.8,Uruguay
1906-10-15,1906,10,17.0,Uruguay
1906-11-15,1906,11,19.2,Uruguay
1906-12-15,1906,12,20.9,Uruguay
1907-01-15,1907,1,24.2,Uruguay
1907-02-15,1907,2,23.8,Uruguay
1907-03-15,1907,3,21.2,Uruguay
1907-04-15,1907,4,17.4,Uruguay
1907-05-15,1907,5,12.6,Uruguay
1907-06-15,1907,6,10.6,Uruguay
1907-07-15,1907,7,11.0,Uruguay
1907-08-15,1907,8,10.8,Uruguay
1907-09-15,1907,9,12.1,Uruguay
1907-10-15,1907,10,15.3,Uruguay
1907-11-15,1907,11,19.0,Uruguay
1907-12-15,1907,12,22.2,Uruguay
1908-01-15,1908,1,23.6,Uruguay
1908-02-15,1908,2,23.0,Uruguay
1908-03-15,1908,3,22.3,Uruguay
1908-04-15,1908,4,16.8,Uruguay
1908-05-15,1908,5,13.6,Uruguay
1908-06-15,1908,6,12.7,Uruguay
1908-07-15,1908,7,11.6,Uruguay
1908-08-15,1908,8,10.9,Uruguay
1908-09-15,1908,9,13.7,Uruguay
1908-10-15,1908,10,16.5,Uruguay
1908-11-15,1908,11,18.9,Uruguay
1908-12-15,1908,12,21.9,Uruguay
1909-01-15,1909,1,24.1,Uruguay
1909-02-15,1909,2,22.5,Uruguay
1909-03-15,1909,3,20.9,Uruguay
1909-04-15,1909,4,18.4,Uruguay
1909-05-15,1909,5,12.4,Uruguay
1909-06-15,1909,6,10.4,Uruguay
1909-07-15,1909,7,11.2,Uruguay
1909-08-15,1909,8,14.4,Uruguay
1909-09-15,1909,9,14.7,Uruguay
1909-10-15,1909,10,15.8,Uruguay
1909-11-15,1909,11,17.5,Uruguay
1909-12-15,1909,12,20.9,Uruguay
1910-01-15,1910,1,23.7,Uruguay
1910-02-15,1910,2,22.3,Uruguay
1910-03-15,1910,3,20.0,Uruguay
1910-04-15,1910,4,16.9,Uruguay
1910-05-15,1910,5,13.3,Uruguay
1910-06-15,1910,6,12.2,Uruguay
1910-07-15,1910,7,10.7,Uruguay
1910-08-15,1910,8,12.8,Uruguay
1910-09-15,1910,9,13.7,Uruguay
1910-10-15,1910,10,16.7,Uruguay
1910-11-15,1910,11,19.9,Uruguay
1910-12-15,1910,12,22.7,Uruguay
1911-01-15,1911,1,24.1,Uruguay
1911-02-15,1911,2,22.5,Uruguay
1911-03-15,1911,3,20.6,Uruguay
1911-04-15,1911,4,16.9,Uruguay
1911-05-15,1911,5,13.9,Uruguay
1911-06-15,1911,6,10.1,Uruguay
1911-07-15,1911,7,11.2,Uruguay
1911-08-15,1911,8,11.1,Uruguay
1911-09-15,1911,9,11.8,Uruguay
1911-10-15,1911,10,15.1,Uruguay
1911-11-15,1911,11,18.9,Uruguay
1911-12-15,1911,12,21.3,Uruguay
1912-01-15,1912,1,23.9,Uruguay
1912-02-15,1912,2,23.2,Uruguay
1912-03-15,1912,3,21.6,Uruguay
1912-04-15,1912,4,17.0,Uruguay
1912-05-15,1912,5,13.3,Uruguay
1912-06-15,1912,6,11.9,Uruguay
1912-07-15,1912,7,9.8,Uruguay
1912-08-15,1912,8,11.0,Uruguay
1912-09-15,1912,9,14.3,Uruguay
1912-10-15,1912,10,17.0,Uruguay
1912-11-15,1912,11,18.7,Uruguay
1912-12-15,1912,12,23.0,Uruguay
1913-01-15,1913,1,23.5,Uruguay
1913-02-15,1913,2,25.1,Uruguay
1913-03-15,1913,3,20.6,Uruguay
1913-04-15,1913,4,19.1,Uruguay
1913-05-15,1913,5,15.3,Uruguay
1913-06-15,1913,6,11.9,Uruguay
1913-07-15,1913,7,13.8,Uruguay
1913-08-15,1913,8,12.8,Uruguay
1913-09-15,1913,9,14.2,Uruguay
1913-10-15,1913,10,16.2,Uruguay
1913-11-15,1913,11,19.7,Uruguay
1913-12-15,1913,12,21.5,Uruguay
1914-01-15,1914,1,24.4,Uruguay
1914-02-15,1914,2,23.2,Uruguay
1914-03-15,1914,3,20.3,Uruguay
1914-04-15,1914,4,17.3,Uruguay
1914-05-15,1914,5,14.8,Uruguay
1914-06-15,1914,6,14.1,Uruguay
1914-07-15,1914,7,13.3,Uruguay
1914-08-15,1914,8,12.5,Uruguay
1914-09-15,1914,9,13.6,Uruguay
1914-10-15,1914,10,16.0,Uruguay
1914-11-15,1914,11,17.7,Uruguay
1914-12-15,1914,12,20.4,Uruguay
1915-01-15,1915,1,22.8,Uruguay
1915-02-15,1915,2,23.5,Uruguay
