date,year,month,temp_c,country
1901-01-15,1901,1,-4.5,Uzbekistan
1901-02-15,1901,2,-0.9,Uzbekistan
1901-03-15,1901,3,7.6,Uzbekistan
1901-04-15,1901,4,14.8,Uzbekistan
1901-05-15,1901,5,20.3,Uzbekistan
1901-06-15,1901,6,23.4,Uzbekistan
1901-07-15,1901,7,27.2,Uzbekistan
1901-08-15,1901,8,24.4,Uzbekistan
1901-09-15,1901,9,19.0,Uzbekistan
1901-10-15,1901,10,7.9,Uzbekistan
1901-11-15,1901,11,6.4,Uzbekistan
1901-12-15,1901,12,1.8,Uzbekistan
1902-01-15,1902,1,-0.2,Uzbekistan
1902-02-15,1902,2,-1.3,Uzbekistan
1902-03-15,1902,3,5.5,Uzbekistan
1902-04-15,1902,4,12.4,Uzbekistan
1902-05-15,1902,5,21.0,Uzbekistan
1902-06-15,1902,6,26.5,Uzbekistan
1902-07-15,1902,7,26.9,Uzbekistan
1902-08-15,1902,8,25.8,Uzbekistan
1902-09-15,1902,9,18.8,Uzbekistan
1902-10-15,1902,10,10.7,Uzbekistan
1902-11-15,1902,11,4.4,Uzbekistan
1902-12-15,1902,12,1.2,Uzbekistan
1903-01-15,1903,1,-4.5,Uzbekistan
1903-02-15,1903,2,-0.1,Uzbekistan
1903-03-15,1903,3,0.1,Uzbekistan
1903-04-15,1903,4,12.1,Uzbekistan
1903-05-15,1903,5,19.1,Uzbekistan
1903-06-15,1903,6,25.0,Uzbekistan
1903-07-15,1903,7,27.1,Uzbekistan
1903-08-15,1903,8,25.3,Uzbekistan
1903-09-15,1903,9,19.5,Uzbekistan
1903-10-15,1903,10,12.3,Uzbekistan
1903-11-15,1903,11,3.7,Uzbekistan
1903-12-15,1903,12,-2.4,Uzbekistan
1904-01-15,1904,1,-10.4,Uzbekistan
1904-02-15,1904,2,0.8,Uzbekistan
1904-03-15,1904,3,5.4,Uzbekistan
1904-04-15,1904,4,11.7,Uzbekistan
1904-05-15,1904,5,20.6,Uzbekistan
1904-06-15,1904,6,24.5,Uzbekistan
1904-07-15,1904,7,27.0,Uzbekistan
1904-08-15,1904,8,25.1,Uzbekistan
1904-09-15,1904,9,18.4,Uzbekistan
1904-10-15,1904,10,9.4,Uzbekistan
1904-11-15,1904,11,7.0,Uzbekistan
1904-12-15,1904,12,1.7,Uzbekistan
1905-01-15,1905,1,-5.2,Uzbekistan
1905-02-15,1905,2,-5.2,Uzbekistan
1905-03-15,1905,3,0.5,Uzbekistan
1905-04-15,1905,4,12.9,Uzbekistan
1905-05-15,1905,5,19.8,Uzbekistan
1905-06-15,1905,6,25.0,Uzbekistan
1905-07-15,1905,7,26.9,Uzbekistan
1905-08-15,1905,8,24.6,Uzbekistan
1905-09-15,1905,9,19.7,Uzbekistan
1905-10-15,1905,10,14.5,Uzbekistan
1905-11-15,1905,11,6.1,Uzbekistan
1905-12-15,1905,12,-0.0,Uzbekistan
1906-01-15,1906,1,-5.0,Uzbekistan
1906-02-15,1906,2,-3.8,Uzbekistan
1906-03-15,1906,3,5.3,Uzbekistan
1906-04-15,1906,4,11.6,Uzbekistan
1906-05-15,1906,5,20.6,Uzbekistan
1906-06-15,1906,6,26.5,Uzbekistan
1906-07-15,1906,7,27.1,Uzbekistan
1906-08-15,1906,8,26.0,Uzbekistan
1906-09-15,1906,9,18.7,Uzbekistan
1906-10-15,1906,10,12.1,Uzbekistan
1906-11-15,1906,11,5.3,Uzbekistan
1906-12-15,1906,12,1.7,Uzbekistan
1907-01-15,1907,1,-3.1,Uzbekistan
1907-02-15,1907,2,-3.6,Uzbekistan
1907-03-15,1907,3,4.5,Uzbekistan
1907-04-15,1907,4,13.8,Uzbekistan
1907-05-15,1907,5,18.6,Uzbekistan
1907-06-15,1907,6,23.3,Uzbekistan
1907-07-15,1907,7,27.9,Uzbekistan
1907-08-15,1907,8,25.0,Uzbekistan
1907-09-15,1907,9,18.2,Uzbekistan
1907-10-15,1907,10,8.8,Uzbekistan
1907-11-15,1907,11,2.4,Uzbekistan
1907-12-15,1907,12,-0.4,Uzbekistan
1908-01-15,1908,1,-3.5,Uzbekistan
1908-02-15,1908,2,-2.8,Uzbekistan
1908-03-15,1908,3,2.8,Uzbekistan
1908-04-15,1908,4,12.7,Uzbekistan
1908-05-15,1908,5,19.3,Uzbekistan
1908-06-15,1908,6,24.8,Uzbekistan
1908-07-15,1908,7,27.8,Uzbekistan
1908-08-15,1908,8,25.3,Uzbekistan
1908-09-15,1908,9,19.8,Uzbekistan
1908-10-15,1908,10,8.9,Uzbekistan
1908-11-15,1908,11,6.1,Uzbekistan
1908-12-15,1908,12,0.2,Uzbekistan
1909-01-15,1909,1,-6.3,Uzbekistan
1909-02-15,1909,2,-0.5,Uzbekistan
1909-03-15,1909,3,5.2,Uzbekistan
1909-04-15,1909,4,15.5,Uzbekistan
1909-05-15,1909,5,20.6,Uzbekistan
1909-06-15,1909,6,24.6,Uzbekistan
1909-07-15,1909,7,27.3,Uzbekistan
1909-08-15,1909,8,25.5,Uzbekistan
1909-09-15,1909,9,19.8,Uzbekistan
1909-10-15,1909,10,10.7,Uzbekistan
1909-11-15,1909,11,9.2,Uzbekistan
1909-12-15,1909,12,1.5,Uzbekistan
1910-01-15,1910,1,-0.9,Uzbekistan
1910-02-15,1910,2,-0.6,Uzbekistan
1910-03-15,1910,3,4.1,Uzbekistan
1910-04-15,1910,4,13.2,Uzbekistan
1910-05-15,1910,5,21.8,Uzbekistan
1910-06-15,1910,6,24.6,Uzbekistan
1910-07-15,1910,7,28.4,Uzbekistan
1910-08-15,1910,8,25.5,Uzbekistan
1910-09-15,1910,9,19.0,Uzbekistan
1910-10-15,1910,10,10.8,Uzbekistan
